Target Name	Accession	Description	Occurrences
bifunc_DapF	NF038284.1	NCBIFAM: bifunctional diaminopimelate epimerase/glutamate racemase	5
cas_Csy4	TIGR02563.1	JCVI: type I-F CRISPR-associated endoribonuclease Cas6/Csy4	3
PRK11414.1	NF008504.0	NCBI Protein Cluster (PRK): GntR family transcriptional regulator	8
birA_repr_reg	TIGR00122.1	JCVI: biotin operon repressor	4
YbaK_EbsC	TIGR00011.1	JCVI: Cys-tRNA(Pro) deacylase	5
PRK10670.1	NF007951.0	NCBI Protein Cluster (PRK): Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	3
PRK05588.1	NF004086.0	NCBI Protein Cluster (PRK): histidinol phosphate phosphatase	2
TIGR00266	TIGR00266.1	JCVI: TIGR00266 family protein	1
PRK11586.1	NF008609.0	NCBI Protein Cluster (PRK): nitrate reductase cytochrome c-type subunit	1
TranRegGlpR_Halo	NF041397.1	NCBIFAM: HTH-type transcriptional regulator GlpR	5
AgaR	NF040755.1	NCBIFAM: transcriptional repressor AgaR	5
PRK09802.1	NF007316.0	NCBI Protein Cluster (PRK): DeoR family transcriptional regulator	5
trans_reg_YciT	NF040887.1	NCBIFAM: DNA-binding transcriptional regulator YciT	6
PRK10434.1	NF007753.0	NCBI Protein Cluster (PRK): DNA-binding transcriptional repressor	5
trans_reg_YgbI	NF040890.1	NCBIFAM: DNA-binding transcriptional repressor YgbI	6
PRK10681.1	NF007961.0	NCBI Protein Cluster (PRK): DNA-binding transcriptional repressor DeoR	5
PRK10906.1	NF008154.0	NCBI Protein Cluster (PRK): DeoR/GlpR family transcriptional regulator	5
PRK10411.1	NF007720.0	NCBI Protein Cluster (PRK): L-fucose operon activator	6
PRK13509.1	NF010034.0	NCBI Protein Cluster (PRK): HTH-type transcriptional regulator UlaR	6
HTH_metalloreg	NF033788.1	NCBIFAM: metalloregulator ArsR/SmtB family transcription factor	49
repress_SdpR	NF033789.1	NCBIFAM: autorepressor SdpR family transcription factor	25
ArsR_Rv2640c_fam	NF041413.1	NCBIFAM: Rv2640c family ArsR-like transcriptional regulator	32
SufR_cyano	TIGR02702.1	JCVI: iron-sulfur cluster biosynthesis transcriptional regulator SufR	5
cas_HTH	TIGR01884.1	JCVI: CRISPR-associated CARF protein Csa3	38
Ca_rpt_SMc04171	NF046115.1	NCBIFAM: SMc04171 family calcium-binding repeat protein	30
Zn_serralysin	NF035945.1	NCBIFAM: serralysin family metalloprotease	45
RTX_toxin	NF033943.0	NCBIFAM: RTX family hemolysin	31
entero_EhxA	NF033203.1	NCBIFAM: enterohemolysin EhxA	32
crypto_DASH	TIGR02765.1	JCVI: DASH family cryptochrome	2
photolyase_8HDF	TIGR03556.1	JCVI: deoxyribodipyrimidine photo-lyase, 8-HDF type	2
PRK10674.1	NF007955.0	NCBI Protein Cluster (PRK): deoxyribodipyrimidine photo-lyase	3
crypt_chrom_pln	TIGR02766.1	JCVI: cryptochrome photoreceptor	2
phr2	TIGR00591.1	JCVI: deoxyribodipyrimidine photo-lyase	4
QatD	NF041926.1	NCBIFAM: Qat anti-phage system TatD family nuclease QatD	8
TIGR00010	TIGR00010.1	JCVI: YchF/TatD family DNA exonuclease	8
PRK10532.1	NF007823.0	NCBI Protein Cluster (PRK): threonine/homoserine exporter RhtA	7
pcaR_pcaU	TIGR02431.1	JCVI: beta-ketoadipate pathway transcriptional regulators, PcaR/PcaU/PobR family	9
TransRegBhcR	NF045644.1	NCBIFAM: HTH-type transcriptional regulator BhcR	9
PRK11569.1	NF008601.2	NCBI Protein Cluster (PRK): glyoxylate bypass operon transcriptional repressor IclR	9
PRK15090.1	NF011671.1	NCBI Protein Cluster (PRK): DNA-binding transcriptional regulator KdgR	9
PRK10163.1	NF007548.0	NCBI Protein Cluster (PRK): HTH-type transcriptional repressor AllR	9
PRK09834.1-3	NF007341.0	NCBI Protein Cluster (PRK): DNA-binding transcriptional regulator	8
PRK09834.1-1	NF007339.0	NCBI Protein Cluster (PRK): DNA-binding transcriptional regulator	9
PRK09834.1-4	NF007342.0	NCBI Protein Cluster (PRK): DNA-binding transcriptional regulator	10
tail_P2_I	TIGR01634.1	JCVI: phage tail protein I	3
tail_TIGR02242	TIGR02242.1	JCVI: phage tail protein domain	3
PRK00230.1	NF001273.0	NCBI Protein Cluster (PRK): orotidine-5'-phosphate decarboxylase	2
pyrF	TIGR01740.1	JCVI: orotidine-5'-phosphate decarboxylase	2
PRK13813.1	NF010386.0	NCBI Protein Cluster (PRK): orotidine-5'-phosphate decarboxylase	3
PRK13307.1	NF009833.0	NCBI Protein Cluster (PRK): bifunctional 5,6,7,8-tetrahydromethanopterin hydro-lyase/3-hexulose-6-phosphate synthase	2
RuMP_HxlA	TIGR03128.2	JCVI: 3-hexulose-6-phosphate synthase	3
PRK05422.1	NF003843.0	NCBI Protein Cluster (PRK): SsrA-binding protein SmpB	14
smpB	TIGR00086.1	JCVI: SsrA-binding protein	14
FrctkaseScrK	NF045550.1	NCBIFAM: fructokinase ScrK	6
PolPhglucPhase	NF045942.1	NCBIFAM: polyphosphate--glucose phosphotransferase	10
prot_phos_SiaA	NF038263.1	NCBIFAM: biofilm regulation protein phosphatase SiaA	25
Mtu_fam_mce	TIGR00996.1	JCVI: MCE family protein	8
PRK04761.1	NF003406.0	NCBI Protein Cluster (PRK): NAD kinase	2
PRK01231.1	NF002306.0	NCBI Protein Cluster (PRK): NAD(+) kinase	2
PRK03501.1	NF002902.0	NCBI Protein Cluster (PRK): NAD kinase	2
antidote_HigA	TIGR02607.1	JCVI: HigA family addiction module antitoxin	28
PRK10477.1	NF007786.1	NCBI Protein Cluster (PRK): outer membrane lipoprotein Blc	2
MAG4270_fam	NF045952.1	NCBIFAM: MAG4270 family putative restriction endonuclease	6
PRK10682.1	NF007962.0	NCBI Protein Cluster (PRK): spermidine/putrescine ABC transporter substrate-binding protein PotF	3
PRK09501.1	NF007048.0	NCBI Protein Cluster (PRK): spermidine/putrescine ABC transporter substrate-binding protein PotD	6
ABC_SBP_YdcS	NF041888.1	NCBIFAM: putative ABC transporter substrate-binding protein YdcS	3
PRK00293.1	NF001419.0	NCBI Protein Cluster (PRK): protein-disulfide reductase DsbD	8
trx7_PDZ_seleno	NF041199.1	NCBIFAM: Trx7/PDZ domain-containing (seleno)protein	11
PRK10153.1	NF007540.1	NCBI Protein Cluster (PRK): lysine decarboxylation/transport transcriptional activator CadC	12
PRK12370.1	NF009037.0	NCBI Protein Cluster (PRK): HilA/EilA family virulence transcriptional regulator	14
propeller_TolB	TIGR02800.1	JCVI: Tol-Pal system beta propeller repeat protein TolB	17
PRK07239.1	NF005568.0	NCBI Protein Cluster (PRK): uroporphyrinogen-III synthase	15
PRK11906.1	NF008870.1	NCBI Protein Cluster (PRK): HilA family transcriptional regulator YgeH	1
bilirub_TF_BilQ	NF045593.1	NCBIFAM: bilirubin utilization transcriptional regulator BilQ	20
PRK03573.1	NF002926.0	NCBI Protein Cluster (PRK): transcriptional regulator SlyA	11
HpaR	TIGR02337.1	JCVI: homoprotocatechuate degradation operon regulator, HpaR	20
PRK11050.1	NF008273.0	NCBI Protein Cluster (PRK): manganese-binding transcriptional regulator MntR	8
BagL_FevM	NF041230.1	NCBIFAM: MarR family transcriptional regulator BagL/FevM	14
Staph_reg_Sar	TIGR01889.1	JCVI: staphylococcal accessory regulator family	10
PRK10870.1	NF008122.0	NCBI Protein Cluster (PRK): transcriptional repressor MprA	11
reg_rSAM_mob	TIGR04472.1	JCVI: radical SAM mobile pair system MarR family transcriptional regulator	12
PRK13777.1	NF010349.0	NCBI Protein Cluster (PRK): HTH-type transcriptional regulator Hpr	2
PRK10523.1	NF007814.1	NCBI Protein Cluster (PRK): envelope stress response activation lipoprotein NlpE	2
PRK02250.1	NF002592.0	NCBI Protein Cluster (PRK): hypothetical protein	11
PRK05590.1	NF004088.0	NCBI Protein Cluster (PRK): hypothetical protein	12
SWIM_PBPRA1643	TIGR04102.1	JCVI: PBPRA1643 family SWIM/SEC-C metal-binding motif protein	12
PRK09874.1	NF007372.0	NCBI Protein Cluster (PRK): multidrug efflux MFS transporter MdtG	12
PRK03633.1	NF002962.0	NCBI Protein Cluster (PRK): MFS transporter	13
PRK10077.1	NF007484.0	NCBI Protein Cluster (PRK): D-xylose transporter XylE	12
PRK11646.1	NF008650.1	NCBI Protein Cluster (PRK): multidrug efflux MFS transporter MdtH	8
MFS_efflux_tcmA	NF000025.1	NCBIFAM: tetracenomycin C efflux MFS transporter	25
FloR	NF000219.1	NCBIFAM: chloramphenicol/florfenicol efflux MFS transporter FloR	22
BPSS1187_fam	NF047580.1	NCBIFAM: BPSS1187 family protein	4
esterase_EstD	NF041096.1	NCBIFAM: esterase EstD	11
PST-A	TIGR01607.1	JCVI: Plasmodium subtelomeric family	2
PHA_synth_III_C	TIGR01836.1	JCVI: class III poly(R)-hydroxyalkanoic acid synthase subunit PhaC	4
EFP_modif_epmB	TIGR03821.1	JCVI: EF-P beta-lysylation protein EpmB	8
TIGR00238	TIGR00238.1	JCVI: KamA family radical SAM protein	10
AblA_like_2	TIGR03822.1	JCVI: lysine-2,3-aminomutase-like protein	7
lys_2_3_AblA	TIGR03820.1	JCVI: lysine 2,3-aminomutase	7
arg_2_3_am_muta	TIGR04468.1	JCVI: arginine 2,3-aminomutase	7
Glu_2_3_NH3_mut	TIGR04368.1	JCVI: glutamate 2,3-aminomutase	7
NrdG2	TIGR02495.1	JCVI: anaerobic ribonucleoside-triphosphate reductase activating protein	19
NrdG	TIGR02491.1	JCVI: anaerobic ribonucleoside-triphosphate reductase activating protein	7
MiaB-like-C	TIGR01579.1	JCVI: tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB	10
rSAM_pair_HxsC	TIGR03977.1	JCVI: His-Xaa-Ser system radical SAM maturase HxsC	18
rSAM_QueE_Clost	TIGR03963.1	JCVI: putative 7-carboxy-7-deazaguanine synthase QueE	8
PRK07758.1	NF005841.0	NCBI Protein Cluster (PRK): hypothetical protein	4
PRK12278.1-1	NF008915.0	NCBI Protein Cluster (PRK): 50S ribosomal protein L21	1
PRK09325.1	NF006807.0	NCBI Protein Cluster (PRK): coenzyme F420-reducing hydrogenase subunit beta	2
frhB	TIGR03289.1	JCVI: coenzyme F420 hydrogenase subunit beta	2
F420_dehyd_FpoF	NF040616.1	NCBIFAM: F420H2 dehydrogenase subunit FpoF	8
PRK09326.1	NF006808.0	NCBI Protein Cluster (PRK): F420H2 dehydrogenase subunit F	5
PRK09956.1	NF007418.0	NCBI Protein Cluster (PRK): ISNCY family transposase	1
PRK09857.1	NF007361.0	NCBI Protein Cluster (PRK): recombination-promoting nuclease RpnA	1
PRK07053.1	NF005458.0	NCBI Protein Cluster (PRK): glutamine amidotransferase	24
PRK06490.1	NF005072.0	NCBI Protein Cluster (PRK): glutamine amidotransferase	23
PRK08250.1	NF006098.0	NCBI Protein Cluster (PRK): glutamine amidotransferase	19
PRK09065.1	NF006562.0	NCBI Protein Cluster (PRK): glutamine amidotransferase	27
PRK07567.1	NF005743.0	NCBI Protein Cluster (PRK): glutamine amidotransferase	22
PRK00074.1	NF000848.0	NCBI Protein Cluster (PRK): glutamine-hydrolyzing GMP synthase	30
guaA_Nterm	TIGR00888.1	JCVI: glutamine-hydrolyzing GMP synthase, N-terminal domain	28
PRK00758.1	NF001975.0	NCBI Protein Cluster (PRK): GMP synthase subunit A	29
PRK05665.1	NF004212.0	NCBI Protein Cluster (PRK): amidotransferase	22
PRK12838.1	NF009475.0	NCBI Protein Cluster (PRK): carbamoyl phosphate synthase small subunit	25
CPSaseIIsmall	TIGR01368.1	JCVI: glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	25
trpG_papA	TIGR00566.1	JCVI: glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase	25
PRK05637.1	NF004169.0	NCBI Protein Cluster (PRK): anthranilate synthase component II	23
PRK14607.1	NF011201.0	NCBI Protein Cluster (PRK): bifunctional anthranilate synthase component II/anthranilate phosphoribosyltransferase	26
HI0074	TIGR01987.1	JCVI: HI0074 family nucleotidyltransferase substrate-binding subunit	1
CHL_hydrolase	NF033149.0	NCBIFAM: chloramphenicol hydrolase	12
PRK10162.1	NF007547.0	NCBI Protein Cluster (PRK): acetyl esterase	11
transpos_IS256	NF033543.1	NCBIFAM: IS256 family transposase	31
nspC	TIGR01047.1	JCVI: carboxynorspermidine decarboxylase	1
PRK11081.1	NF008295.0	NCBI Protein Cluster (PRK): tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	7
rRNA_methyl_3	TIGR00186.1	JCVI: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	7
PRK10864.1	NF008117.0	NCBI Protein Cluster (PRK): tRNA/rRNA methyltransferase	7
PRK11181.1	NF008386.0	NCBI Protein Cluster (PRK): 23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	7
rRNA_methyl_1	TIGR00050.1	JCVI: TrmJ/YjtD family RNA methyltransferase	6
NshR_TsnR	NF000477.1	NCBIFAM: NshR/TsnR family 23S rRNA methyltransferase	6
tRNA_yibK_trmL	TIGR00185.1	JCVI: tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL	6
PRK10433.1	NF007752.0	NCBI Protein Cluster (PRK): tRNA/rRNA methyltransferase	5
tRNAmeth_TrmJ_Sulfolob	NF041077.1	NCBIFAM: tRNA (cytidine-2'-O-)-methyltransferase TrmJ	5
nosihep_NshR	NF000035.1	NCBIFAM: NshR family nosiheptide/thiostrepton resistance 23S rRNA methyltransferase	6
dinG_rel	TIGR01407.1	JCVI: putative DnaQ family exonuclease/DinG family helicase	30
rad3	TIGR00604.1	JCVI: DNA repair helicase (rad3)	6
PRK10159.1	NF007544.0	NCBI Protein Cluster (PRK): phosphoporin PhoE	5
PRK10002.1	NF007446.0	NCBI Protein Cluster (PRK): porin OmpF	5
PRK10554.1	NF007841.0	NCBI Protein Cluster (PRK): porin OmpC	5
AcphenoCarb_ApcC	NF042975.2	NCBIFAM: acetophenone carboxylase subunit gamma	5
AcphenoCarb_ApcA	NF042960.1	NCBIFAM: acetophenone carboxylase subunit alpha	5
accessory_GlmL	NF040745.1	NCBIFAM: methylaspartate mutase accessory protein GlmL	4
transpos_IS1249	NF033544.1	NCBIFAM: IS1249 family transposase	21
HerA_antiphage_2	NF042944.1	NCBIFAM: anti-phage-associated helicase HerA	22
HerA_Thermprot	NF040937.1	NCBIFAM: DNA double-strand break repair helicase HerA	25
helicase_HerA	NF040819.1	NCBIFAM: DNA double-strand break repair helicase HerA	28
HerA_antiphage	NF042943.1	NCBIFAM: anti-phage-associated helicase HerA	25
VirB4_plasma	NF045975.1	NCBIFAM: Mbov_0397 family ICE element conjugal transfer ATPase	23
DNA_import_CedB	NF041017.1	NCBIFAM: DNA import protein CedB	24
plasmid_TraB	NF041214.1	NCBIFAM: plasmid transfer protein TraB	9
ser_rich_anae_1	NF033849.1	NCBIFAM: serine-rich protein	18
T7_EssCb_Firm	TIGR03928.1	JCVI: type VII secretion protein EssC	15
T7SS_EccC_b	TIGR03925.1	JCVI: type VII secretion protein EccCb	23
PRK08306.1	NF006162.0	NCBI Protein Cluster (PRK): dipicolinate synthase subunit DpsA	6
PRK00258.3-3	NF001319.0	NCBI Protein Cluster (PRK): shikimate dehydrogenase	7
chol_sulfatase	TIGR03417.1	JCVI: choline-sulfatase	26
PRK13759.1	NF010322.0	NCBI Protein Cluster (PRK): arylsulfatase	27
HdlasePehA	NF045661.1	NCBIFAM: phosphoric/sulfuric ester hydrolase PehA	25
LapC_YejM_PbgA	NF038282.1	NCBIFAM: LPS biosynthesis-modulating metalloenzyme YejM	8
fam_STM4013	NF038075.1	NCBIFAM: STM4013/SEN3800 family hydrolase	1
ceramidase_neut	NF041649.1	NCBIFAM: neutral ceramidase	1
PRK09643.1	NF007225.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigM	25
SigE-fam_strep	TIGR02983.1	JCVI: SigE family RNA polymerase sigma factor	51
PRK05602.1	NF004113.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	39
PRK11922.1	NF008888.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	36
PRK12519.1	NF009172.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	39
PRK09647.1	NF007229.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigE	29
PRK09641.1	NF007223.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigW	34
PRK12515.1	NF009168.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	25
PRK09646.1	NF007228.0	NCBI Protein Cluster (PRK): ECF RNA polymerase sigma factor SigK	32
Sig-70_gvs1	TIGR02989.1	JCVI: RNA polymerase sigma-70 factor, Rhodopirellula/Verrucomicrobium family	37
SigW_bacill	TIGR02948.1	JCVI: RNA polymerase sigma factor SigW	31
PRK09645.1	NF007227.0	NCBI Protein Cluster (PRK): sigma-70 family RNA polymerase sigma factor	33
PRK12524.1	NF009176.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	32
SigX4	TIGR02957.1	JCVI: RNA polymerase sigma-70 factor	34
PRK11924.1-5	NF008891.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	20
PRK12513.1	NF009166.1	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	44
PRK08241.1	NF006089.0	NCBI Protein Cluster (PRK): RNA polymerase subunit sigma-70	29
PRK12538.1	NF009190.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	22
PRK12518.1	NF009171.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	31
PRK12514.1	NF009167.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	27
PRK11924.3-1	NF008894.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	22
SigX5	TIGR02960.1	JCVI: RNA polymerase sigma-70 factor, TIGR02960 family	33
PRK09636.1	NF007214.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigJ	30
PRK09635.1	NF007213.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigI	18
SigM_subfam	TIGR02950.1	JCVI: RNA polymerase sigma factor, SigM family	40
PRK09415.1	NF006930.0	NCBI Protein Cluster (PRK): RNA polymerase factor sigma C	24
RpoE_Sigma70	TIGR02939.1	JCVI: RNA polymerase sigma factor RpoE	27
PRK09047.1	NF006550.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	28
PRK12517.1	NF009170.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	27
SigH_actino	TIGR02947.1	JCVI: RNA polymerase sigma-70 factor, TIGR02947 family	24
PRK12511.1	NF009164.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	28
PRK12512.1	NF009165.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	26
PRK12543.1	NF009195.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	25
PRK11924.2-3	NF008893.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	18
SigZ	TIGR02959.1	JCVI: RNA polymerase sigma factor SigZ	34
PRK09648.1	NF007230.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor ShbA	24
PRK12546.1	NF009198.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	27
PRK12522.1	NF009174.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	22
Sig70_famx3	TIGR02954.1	JCVI: RNA polymerase sigma-70 factor, TIGR02954 family	26
PRK09638.1	NF007216.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigY	37
PRK12542.1	NF009194.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	27
PRK12537.1	NF009189.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	29
PRK13919.1	NF010500.0	NCBI Protein Cluster (PRK): putative RNA polymerase sigma E protein	26
PRK09649.1	NF007231.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigC	22
PRK07209.1	NF005550.0	NCBI Protein Cluster (PRK): ribonucleotide-diphosphate reductase subunit beta	8
PRK09614.1-5	NF007186.0	NCBI Protein Cluster (PRK): ribonucleotide-diphosphate reductase subunit beta	8
PRK09614.1-3	NF007184.0	NCBI Protein Cluster (PRK): ribonucleotide-diphosphate reductase subunit beta	8
PRK12759.1	NF009398.0	NCBI Protein Cluster (PRK): bifunctional gluaredoxin/ribonucleoside-diphosphate reductase subunit beta	7
PRK09101.1	NF006576.0	NCBI Protein Cluster (PRK): class Ia ribonucleoside-diphosphate reductase subunit beta	10
RNR_1b_NrdF	TIGR04171.1	JCVI: class 1b ribonucleoside-diphosphate reductase subunit beta	8
PRK09614.1-2	NF007183.0	NCBI Protein Cluster (PRK): ribonucleotide-diphosphate reductase subunit beta	8
PRK08326.1-3	NF006200.0	NCBI Protein Cluster (PRK): R2-like ligand-binding oxidase	7
PRK09614.1-1	NF007182.0	NCBI Protein Cluster (PRK): ribonucleotide-diphosphate reductase subunit beta	8
PRK13966.1	NF010573.0	NCBI Protein Cluster (PRK): ribonucleotide-diphosphate reductase subunit beta	8
PRK13965.1	NF010572.0	NCBI Protein Cluster (PRK): class 1b ribonucleoside-diphosphate reductase subunit beta	8
PRK09614.1-4	NF007185.0	NCBI Protein Cluster (PRK): ribonucleotide-diphosphate reductase subunit beta	8
PRK13967.1	NF010574.0	NCBI Protein Cluster (PRK): ribonucleotide-diphosphate reductase subunit beta	8
PRK08326.1-5	NF006202.0	NCBI Protein Cluster (PRK): R2-like ligand-binding oxidase	7
PRK08326.1-1	NF006198.0	NCBI Protein Cluster (PRK): R2-like ligand-binding oxidase	7
PRK08326.1-4	NF006201.0	NCBI Protein Cluster (PRK): R2-like ligand-binding oxidase	7
PRK08326.1-2	NF006199.0	NCBI Protein Cluster (PRK): R2-like ligand-binding oxidase	8
PRK09250.1-4	NF006707.0	NCBI Protein Cluster (PRK): class I fructose-bisphosphate aldolase	1
PRK09250.1-2	NF006705.0	NCBI Protein Cluster (PRK): class I fructose-bisphosphate aldolase	1
PRK09250.1-3	NF006706.0	NCBI Protein Cluster (PRK): class I fructose-bisphosphate aldolase	1
PRK09250.1-1	NF006704.0	NCBI Protein Cluster (PRK): class I fructose-bisphosphate aldolase	1
PRK06852.1	NF005321.0	NCBI Protein Cluster (PRK): aldolase	2
PRK07226.1	NF005556.0	NCBI Protein Cluster (PRK): 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	4
Fbpase1_Arch	NF040816.1	NCBIFAM: class I fructose-bisphosphate aldolase	2
ADH_synth	TIGR01949.1	JCVI: 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	1
PRK08227.1	NF006081.0	NCBI Protein Cluster (PRK): 3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase	1
PRK10206.1	NF007574.0	NCBI Protein Cluster (PRK): oxidoreductase	11
organ_hyd_perox	TIGR03561.1	JCVI: Ohr family peroxiredoxin	2
OsmC_like_Se	NF041052.1	NCBIFAM: OsmC-related (seleno)protein	2
Dsr1	NF041818.1	NCBIFAM: anti-phage defense-associated sirtuin Dsr1	15
IS66_ISAeme5_TnpA	NF047593.1	NCBIFAM: IS66 family insertion sequence element accessory protein TnpA	43
bile_salt_MFS	NF038246.1	NCBIFAM: conjugated bile salt MFS transporter	12
oxa_formateAnti	TIGR04259.1	JCVI: oxalate/formate MFS antiporter	8
CynX	TIGR00896.1	JCVI: CynX/NimT family MFS transporter	17
MFS_ArsK	NF033733.1	NCBIFAM: arsenite efflux MFS transporter ArsK	1
MFS_flip_LtaA	NF047396.1	NCBIFAM: lipoteichoic acid biosynthesis MFS flippase LtaA	2
BagJ_FevB	NF041228.1	NCBIFAM: bagremycin/ferroverdin transporter BagJ/FevB	16
2A0121	TIGR00900.1	JCVI: H+ Antiporter protein	66
2A0113	TIGR00892.1	JCVI: monocarboxylate transporter	9
XdhC_rel_AOR	NF045664.1	NCBIFAM: XdhC family aldehyde oxidoreductase maturation factor	6
xanthine_xdhC	TIGR02964.1	JCVI: xanthine dehydrogenase accessory protein XdhC	4
PRK11171.1-5	NF008376.0	NCBI Protein Cluster (PRK): (S)-ureidoglycine aminohydrolase	1
PRK11171.1-2	NF008373.0	NCBI Protein Cluster (PRK): (S)-ureidoglycine aminohydrolase	1
AAH_UGLYAH2	NF040771.1	NCBIFAM: bifunctional allantoicase/(S)-ureidoglycine aminohydrolase, UGLYAH2 family	1
ura-cupin	TIGR03214.2	JCVI: (S)-ureidoglycine aminohydrolase	1
PRK02866.1	NF002773.0	NCBI Protein Cluster (PRK): cyanase	1
cynS	TIGR00673.1	JCVI: cyanase	5
PRK05479.1	NF004017.0	NCBI Protein Cluster (PRK): ketol-acid reductoisomerase	8
ilvC	TIGR00465.1	JCVI: ketol-acid reductoisomerase	5
PRK13403.1	NF009940.0	NCBI Protein Cluster (PRK): ketol-acid reductoisomerase	2
PRK05225.1	NF003557.0	NCBI Protein Cluster (PRK): ketol-acid reductoisomerase	2
PRK05476.2-3	NF004005.0	NCBI Protein Cluster (PRK): adenosylhomocysteinase	7
ahcY	TIGR00936.1	JCVI: adenosylhomocysteinase	4
PRK07502.1	NF005694.0	NCBI Protein Cluster (PRK): prephenate/arogenate dehydrogenase family protein	8
tartro_sem_red	TIGR01505.1	JCVI: 2-hydroxy-3-oxopropionate reductase	12
Rcas_1661_fam_Se	NF041057.1	NCBIFAM: Rcas_1661 family thioredoxin-like (seleno)lipoprotein	8
symport_RbsU	NF047342.1	NCBIFAM: ribose/proton symporter RbsU	1
PRK01777.1	NF002490.0	NCBI Protein Cluster (PRK): RnfH family protein	4
sufB	TIGR01980.1	JCVI: Fe-S cluster assembly protein SufB	3
PRK11814.1	NF008773.0	NCBI Protein Cluster (PRK): Fe-S cluster assembly protein SufB	3
sufD	TIGR01981.1	JCVI: Fe-S cluster assembly protein SufD	3
PRK10948.1	NF008194.0	NCBI Protein Cluster (PRK): Fe-S cluster assembly protein SufD	3
diiron_AurF	NF045603.1	NCBIFAM: 4-aminobenzoate N-oxygenase	1
traC_PFL_4706	TIGR03744.1	JCVI: conjugative transfer ATPase	6
TraC-F-type	TIGR02746.1	JCVI: type IV secretion system protein TraC	13
VirB4_CagE	TIGR00929.1	JCVI: VirB4 family type IV secretion/conjugal transfer ATPase	17
conju_CD1110	NF045971.1	NCBIFAM: VirB4-like conjugal transfer ATPase, CD1110 family	12
PRK13873.1	NF010447.0	NCBI Protein Cluster (PRK): conjugal transfer protein TrbE	11
PRK13721.1	NF010278.0	NCBI Protein Cluster (PRK): type IV secretion system protein TraC	6
PRK13830.1	NF010404.0	NCBI Protein Cluster (PRK): conjugal transfer protein TrbE	9
PRK13898.1	NF010473.0	NCBI Protein Cluster (PRK): type IV secretion system ATPase VirB4	7
arsC_pI258_fam	TIGR02691.1	JCVI: arsenate reductase (thioredoxin)	2
PRK13530.1	NF010053.0	NCBI Protein Cluster (PRK): arsenate reductase (thioredoxin)	2
ars_reduc_gluta	TIGR02689.1	JCVI: arsenate reductase, glutathione/glutaredoxin type	2
HpaD	TIGR02295.1	JCVI: 3,4-dihydroxyphenylacetate 2,3-dioxygenase	16
Fos_GSH	NF000496.1	NCBIFAM: fosfomycin resistance glutathione transferase	18
PRK04101.1	NF003152.0	NCBI Protein Cluster (PRK): metallothiol transferase FosB	14
fosA7	NF032892.0	NCBIFAM: FosA7 family fosfomycin resistance glutathione transferase	7
FosA	NF000221.4	NCBIFAM: FosA family fosfomycin resistance glutathione transferase	15
fos-Vibrio	NF000124.1	NCBIFAM: FosG/FosC2-related fosfomycin resistance glutathione transferase	8
PRK06724.1	NF005227.0	NCBI Protein Cluster (PRK): hypothetical protein	4
