Most Frequent Protein ID	Frequency	Description
WP_216642224.1	1	SDH family Clp fold serine proteinase
WP_013593486.1	1	Sec-independent protein translocase subunit TatA
WP_013593487.1	1	Sec-independent protein translocase protein TatB
WP_119395762.1	1	DNA-3-methyladenine glycosylase I
WP_227893561.1	1	DUF6402 family protein
WP_227893570.1	1	type VI secretion system Vgr family protein
WP_370634319.1	1	glycosyl hydrolase family 65 protein
WP_176689397.1	1	DUF4410 domain-containing protein
WP_305484666.1	1	O-succinylhomoserine sulfhydrylase
Unknown	1	MlrC C-terminal domain-containing protein
Unknown	1	Putrescine importer PuuP
WP_076104152.1	1	CbiX/SirB N-terminal domain-containing protein
WP_086209881.1	1	maltoporin
WP_099761553.1	1	phage baseplate protein
WP_062744175.1	1	DUF3999 family protein
WP_118663357.1	1	DUF2339 domain-containing protein
WP_187510486.1	1	peptidase domain-containing ABC transporter
WP_102385192.1	1	DUF6765 family protein
WP_406642688.1	1	beta-ketoacyl-[acyl-carrier-protein] synthase family protein
WP_406642690.1	1	beta-ketoacyl-ACP synthase 3
WP_406642692.1	1	ACP S-malonyltransferase
WP_406642696.1	1	PucR family transcriptional regulator
WP_231420643.1	1	GTPase domain-containing protein
WP_231420646.1	1	penicillin acylase family protein
WP_302258977.1	1	DpnD/PcfM family protein
WP_094062838.1	1	DUF1289 domain-containing protein
WP_006831873.1	1	30S ribosomal protein S12
WP_067464780.1	1	30S ribosomal protein S7
WP_362078784.1	1	flavoprotein
WP_354075695.1	1	YidB family protein
WP_305477530.1	1	sodium-dependent bicarbonate transport family permease
WP_305477531.1	1	zf-TFIIB domain-containing protein
Unknown	1	transmembrane anchor protein
WP_192086290.1	1	5'-nucleotidase
WP_195432995.1	1	DUF4234 domain-containing protein
WP_348535704.1	1	phage tail assembly protein T
WP_348535702.1	1	phage minor tail protein G
Unknown	1	DNA gyrase subunit B
WP_244108614.1	1	type VI secretion system baseplate subunit TssF
WP_175838594.1	1	LWXIA domain-containing protein
Unknown	1	acetyl-CoA C-acyltransferase
WP_204223838.1	1	ceramidase domain-containing protein
WP_204223844.1	1	short chain dehydrogenase
WP_352798555.1	1	CoiA-like domain protein
WP_355510218.1	1	gamma-glutamylcyclotransferase family protein
WP_345189411.1	1	tetraacyldisaccharide 4'-kinase
WP_345189419.1	1	(4Fe-4S)-binding protein
WP_345189421.1	1	kynureninase
WP_289375703.1	1	ANTAR domain-containing protein
WP_289375719.1	1	NPP1 family protein
WP_289375720.1	1	malonyl-ACP O-methyltransferase BioC
Unknown	1	DUF1214 domain-containing protein
WP_264958116.1	1	adenylyltransferase/cytidyltransferase family protein
WP_008718746.1	1	LURP-one-related/scramblase family protein
WP_004693127.1	1	acetoin reductase
WP_044660478.1	1	bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase
WP_044660479.1	1	nicotinate phosphoribosyltransferase
WP_044660480.1	1	nucleoside 2-deoxyribosyltransferase domain-containing protein
WP_092666613.1	1	FGGY family carbohydrate kinase
WP_092666614.1	1	glycerol-3-phosphate dehydrogenase/oxidase
WP_092666616.1	1	glycerol-3-phosphate responsive antiterminator
WP_134208821.1	1	fructose bisphosphate aldolase
WP_134208823.1	1	SafA/ExsA family spore coat assembly protein
WP_134208827.1	1	MEDS domain-containing protein
WP_214995660.1	1	bacteriocin immunity protein
WP_214995662.1	1	S-type pyocin domain-containing protein
WP_251029594.1	1	DUF6685 family protein
WP_286578577.1	1	pilus assembly protein TadG-related protein
WP_239044179.1	1	phosphonate C-P lyase system protein PhnH
WP_013233865.1	1	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
WP_309983402.1	1	deoxyribodipyrimidine photo-lyase
WP_309983404.1	1	MDR family MFS transporter
WP_013233859.1	1	ribosome biogenesis factor YjgA
WP_320543140.1	1	isocitrate lyase/phosphoenolpyruvate mutase family protein
WP_320543141.1	1	NAD(P)H oxidoreductase
WP_315728785.1	1	HWE histidine kinase domain-containing protein
WP_145189949.1	1	redoxin family protein
WP_203656739.1	1	magnesium transporter MgtE N-terminal domain-containing protein
WP_373307248.1	1	aminopeptidase P family protein
WP_385768147.1	1	non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase
WP_362471297.1	1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
WP_101965263.1	1	K(+)-transporting ATPase subunit F
Unknown	1	Patatin
WP_313437027.1	1	bifunctional helix-turn-helix transcriptional regulator/GNAT family N-acetyltransferase
WP_313437054.1	1	coniferyl aldehyde dehydrogenase
WP_017042795.1	1	type III toxin-antitoxin system TenpIN family toxin
WP_049000243.1	1	fimbrial biogenesis chaperone
WP_006341997.1	1	ABC-2 family transporter protein
WP_377633441.1	1	NF041680 family putative transposase
WP_404594886.1	1	UDP-glucose dehydrogenase family protein
WP_404594887.1	1	uridine kinase
WP_320462514.1	1	rhamnogalacturonan acetylesterase
WP_068854192.1	1	3-deoxy-7-phosphoheptulonate synthase
WP_279833078.1	1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
WP_053326488.1	1	DUF4303 domain-containing protein
WP_202646988.1	1	prolyl hydroxylase family protein
WP_279219181.1	1	DUF2567 domain-containing protein
WP_024487821.1	1	biotin synthase BioB
WP_080910806.1	1	AzlD domain-containing protein
WP_355331527.1	1	AzlC family ABC transporter permease
WP_273562325.1	1	CHRD domain-containing protein
WP_334504917.1	1	molybdopterin-guanine dinucleotide biosynthesis protein B
WP_334503106.1	1	molybdenum cofactor guanylyltransferase MobA
WP_334503113.1	1	molybdopterin biosynthesis protein
WP_334503115.1	1	molybdopterin-binding protein
Unknown	1	phage protease
WP_248804107.1	1	pyridoxal phosphate-dependent decarboxylase family protein
WP_097774692.1	1	carbohydrate ABC transporter substrate-binding protein
WP_002875970.1	1	DUF4651 domain-containing protein
WP_084859542.1	1	CTP synthase
WP_000418415.1	1	DNA-directed RNA polymerase subunit delta
WP_323788896.1	1	M4 family metallopeptidase
WP_323788904.1	1	nickel-binding protein
WP_182947653.1	1	BA14K family protein
WP_182947663.1	1	zinc ribbon domain-containing protein YjdM
WP_182947667.1	1	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
WP_182947669.1	1	2-oxoglutarate dehydrogenase E1 component
WP_112286485.1	1	YSIRK-type signal peptide-containing protein
WP_026155396.1	1	IS5-like element ISPpa3 family transposase
Unknown	1	3-keto-5-aminohexanoate cleavage protein
WP_276191652.1	1	2-dehydropantoate 2-reductase N-terminal domain-containing protein
WP_370593550.1	1	DUF819 family protein
WP_259399683.1	1	RICIN domain-containing protein
WP_370451986.1	1	CcdC protein domain-containing protein
WP_061656619.1	1	DUF5068 domain-containing protein
WP_350415836.1	1	Pathogenicity island protein
WP_043266799.1	1	IclR family transcriptional regulator C-terminal domain-containing protein
WP_256511860.1	1	catalase family protein
WP_401438457.1	1	glutamate-1-semialdehyde 2%2C1-aminomutase
WP_248126449.1	1	TM2 domain-containing protein
WP_133499019.1	1	cytochrome c oxidase assembly factor Coa1 family protein
WP_258578382.1	1	YcgJ family protein
WP_045612001.1	1	DUF3612 domain-containing protein
WP_015727639.1	1	malate synthase
WP_165165721.1	1	BPTD_3080 family restriction endonuclease
WP_138109055.1	1	TRM11 family methyltransferase
WP_290297011.1	1	phage holin family protein
WP_184588339.1	1	phosphate ABC transporter substrate-binding protein PstS
WP_184588355.1	1	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
Unknown	1	CpaF family protein
WP_072446722.1	1	IS66-like element ISRgn2 family transposase
WP_017062427.1	1	membrane dipeptidase
WP_090234743.1	1	YhfG family protein
WP_041942976.1	1	LytR/AlgR family response regulator transcription factor
WP_013542542.1	1	glutamine--tRNA ligase/YqeY domain fusion protein
WP_005342491.1	1	IS1595-like element ISKpn3 family transposase
WP_011191341.1	1	IS4-like element ISApu2 family transposase
WP_337458553.1	1	glutaredoxin family protein
WP_371713545.1	1	TrkA family potassium uptake protein
WP_139229119.1	1	DUF5763 domain-containing protein
WP_369752777.1	1	serine--tRNA ligase
WP_369752783.1	1	methionine--tRNA ligase
Unknown	1	3-oxoadipyl-CoA thiolase
WP_346244545.1	1	YadA family autotransporter adhesin
WP_175942407.1	1	peptidoglycan-binding domain-containing protein
WP_124613842.1	1	DUF2933 domain-containing protein
WP_021010096.1	1	TraR/DksA C4-type zinc finger protein
WP_021010097.1	1	alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB
WP_096131214.1	1	DUF5713 family protein
WP_350503630.1	1	type VII secretion target
WP_155664528.1	1	M15 family peptidase
WP_012373382.1	1	MBL fold metallo-hydrolase RNA specificity domain-containing protein
WP_125785638.1	1	RIP homotypic interaction motif-containing protein
WP_230041245.1	1	prevent-host-death protein
WP_071627386.1	1	trans-sulfuration enzyme family protein
WP_071627381.1	1	agmatine/peptidylarginine deiminase
WP_071627386.1	1	PLP-dependent aspartate aminotransferase family protein
WP_172894457.1	1	phospholipase A2
Unknown	1	kinase
WP_088963643.1	1	cyclophane-forming radical SAM peptide maturase AmcB
WP_394370304.1	1	ferrous iron transport protein A
WP_193712055.1	1	SCO family protein
WP_198627939.1	1	PepSY-like domain-containing protein
WP_301380029.1	1	excalibur calcium-binding domain-containing protein
WP_167093490.1	1	AP2 domain-containing protein
WP_425480710.1	1	NAD(P)-binding protein
WP_004794389.1	1	flavin reductase
WP_025303396.1	1	type I glyceraldehyde-3-phosphate dehydrogenase
WP_225575346.1	1	DUF4184 family protein
WP_225575356.1	1	DUF4139 domain-containing protein
WP_052729840.1	1	tRNA adenosine(34) deaminase TadA
WP_046218844.1	1	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
WP_046218845.1	1	S-formylglutathione hydrolase
WP_046218846.1	1	AbgT family transporter
WP_001120888.1	1	IS91-like element ISCR2 family transposase
WP_001120888.1	1	IS91-like element ISVsa3 family transposase
WP_168282664.1	1	Ti-type conjugative transfer system protein TraG
WP_303994233.1	1	DUF3597 domain-containing protein
WP_161835157.1	1	aminoacyl-tRNA hydrolase
WP_188895162.1	1	DUF6993 domain-containing protein
WP_284503251.1	1	CBASS cGAMP synthase
WP_123776487.1	1	malate synthase G
WP_221715720.1	1	DUF1905 domain-containing protein
WP_186968500.1	1	glutaredoxin-related protein
WP_120125324.1	1	STM4504/CBY_0614 family protein
WP_186022463.1	1	glutamate--cysteine ligase
WP_102376670.1	1	DUF3179 domain-containing (seleno)protein
WP_017029606.1	1	DUF5062 family protein
WP_218731556.1	1	restriction system-associated AAA family ATPase
WP_297958897.1	1	DUF3789 domain-containing protein
WP_063326468.1	1	immunity protein Tsi6 family protein
Unknown	1	alkanesulfonate monooxygenase
WP_420870477.1	1	DUF7695 domain-containing protein
WP_387771884.1	1	amino acid adenylation domain-containing protein
WP_387771890.1	1	beta-N-acetylhexosaminidase
WP_298765768.1	1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
WP_296089098.1	1	DUF4290 domain-containing protein
WP_298765775.1	1	1-deoxy-D-xylulose-5-phosphate reductoisomerase
WP_249905132.1	1	cell cycle two-component system response regulator CpdR
WP_249905133.1	1	N-formylglutamate amidohydrolase
WP_249905002.1	1	SapC family protein
WP_277079396.1	1	type II toxin-antitoxin system YhaV family toxin
WP_338117201.1	1	type II toxin-antitoxin system PrlF family antitoxin
WP_408077413.1	1	ABC-type transport auxiliary lipoprotein family protein
WP_039392863.1	1	NAD kinase
WP_352481196.1	1	RbsD/FucU family protein
WP_394373894.1	1	capsule assembly Wzi family protein
WP_156794500.1	1	DUF6516 family protein
WP_262684962.1	1	glycerophosphodiester phosphodiesterase
WP_262684963.1	1	CehA/McbA family metallohydrolase
WP_168690248.1	1	DUF6153 family protein
WP_252221042.1	1	delta-lactam-biosynthetic de-N-acetylase
WP_252221046.1	1	conserved phage C-terminal domain-containing protein
Unknown	1	GapR family DNA-binding domain-containing protein
WP_076538346.1	1	tandem-95 repeat protein
WP_219042723.1	1	ornithine carbamoyltransferase
WP_011653923.1	1	LON peptidase substrate-binding domain-containing protein
WP_011653922.1	1	Trm112 family protein
WP_386951583.1	1	carbohydrate binding domain-containing protein
WP_386949025.1	1	phosphoribosylformylglycinamidine synthase subunit PurL
WP_386949035.1	1	phosphogluconate dehydrogenase (NAD(+)-dependent%2C decarboxylating)
WP_102223171.1	1	homoserine O-succinyltransferase
WP_102223173.1	1	OmpP1/FadL family transporter
WP_102223174.1	1	ribose 5-phosphate isomerase B
WP_230164515.1	1	GTPase HflX
WP_306346011.1	1	DUF6642 family protein
WP_322303387.1	1	type III glutamate--ammonia ligase
WP_322303359.1	1	protein glxC
WP_004851906.1	1	YgeY family selenium metabolism-linked hydrolase
WP_064379852.1	1	diaminopropionate ammonia-lyase
WP_004851903.1	1	knotted carbamoyltransferase YgeW
WP_064405785.1	1	sigma-54-dependent Fis family transcriptional regulator
WP_339853227.1	1	hydroxyethylthiazole kinase
WP_339853233.1	1	DUF3237 domain-containing protein
WP_339853237.1	1	DUF4394 domain-containing protein
WP_151789258.1	1	glycoside hydrolase family protein
WP_166549295.1	1	Dabb family protein
WP_022880406.1	1	DUF1653 domain-containing protein
WP_243013708.1	1	LPD25 domain-containing protein
WP_270371139.1	1	alanine:cation symporter family protein
WP_005299621.1	1	iron-sulfur cluster assembly scaffold protein
WP_065172113.1	1	GGGtGRT protein
WP_086366840.1	1	patatin family protein
WP_138242545.1	1	MetS family NSS transporter small subunit
WP_182079344.1	1	DUF2860 domain-containing protein
WP_068946742.1	1	pyridoxal-dependent aspartate 1-decarboxylase PanP
WP_057479116.1	1	TIGR00366 family protein
WP_385450245.1	1	integration host factor%2C actinobacterial type
WP_242802398.1	1	methionine ABC transporter substrate-binding lipoprotein MetQ
WP_129534458.1	1	methionine ABC transporter permease MetI
WP_242802401.1	1	DUF2652 domain-containing protein
WP_080597950.1	1	YceK/YidQ family lipoprotein
WP_349056050.1	1	PTS sugar transporter subunit IIC
WP_099760432.1	1	YqhA family protein
Unknown	1	glycoside hydrolase family 125 protein
WP_379088833.1	1	basic secretory protein-like protein
WP_405051526.1	1	DUF3761 domain-containing protein
WP_309327810.1	1	DNA internalization-related competence protein ComEC/Rec2
WP_265723527.1	1	DUF6942 family protein
WP_265723530.1	1	DUF7661 family protein
WP_346024107.1	1	oligosaccharide flippase family protein
WP_126305554.1	1	ExeA family protein
WP_126305552.1	1	DUF6431 domain-containing protein
WP_254930325.1	1	Coq4 family protein
WP_226036612.1	1	DUF1878 domain-containing protein
WP_404306950.1	1	TRAP transporter permease
WP_260706627.1	1	GMC oxidoreductase
WP_260706628.1	1	gluconate 2-dehydrogenase subunit 3 family protein
WP_196122631.1	1	beta-glucoside-specific PTS transporter subunit IIABC
WP_196122632.1	1	glycoside hydrolase family 1 protein
WP_258578524.1	1	ADP-glyceromanno-heptose 6-epimerase
WP_202089485.1	1	DUF1634 domain-containing protein
WP_281113909.1	1	guanine deaminase
WP_141155772.1	1	xanthine dehydrogenase accessory protein XdhC
WP_281113910.1	1	xanthine dehydrogenase molybdopterin binding subunit
WP_092486753.1	1	xanthine dehydrogenase small subunit
WP_039542070.1	1	AbiEi antitoxin N-terminal domain-containing protein
WP_180167674.1	1	TonB family protein
WP_425605360.1	1	IncP-type conjugal transfer protein TraG
WP_341724066.1	1	chromosome partitioning protein ParB
WP_016128026.1	1	DUF4179 domain-containing protein
WP_341097417.1	1	DUF3656 domain-containing protein
WP_341097421.1	1	cold-inducible protein YdjO-related protein
WP_342139700.1	1	DUF3302 domain-containing protein
WP_258960139.1	1	C-terminal helicase domain-containing protein
WP_137983876.1	1	alpha/beta hydrolase domain-containing protein
WP_047782256.1	1	ferredoxin--NADP(+) reductase
WP_135264497.1	1	ribonuclease E activity regulator RraA
WP_135264500.1	1	aconitase family protein
WP_055326663.1	1	adenylate dimethylallyltransferase Tzs
WP_093294767.1	1	HPP family protein
WP_043245644.1	1	metal ABC transporter permease
WP_271103989.1	1	metal ABC transporter ATP-binding protein
WP_317239889.1	1	invasion associated locus B family protein
WP_317239890.1	1	DUF1428 domain-containing protein
WP_343659628.1	1	DUF559 domain-containing protein
WP_161992626.1	1	DUF3833 family protein
WP_150968519.1	1	50S ribosomal protein L27
Unknown	1	50S ribosomal protein L21
WP_068353019.1	1	DNA topoisomerase IB
WP_068353041.1	1	L-rhamnose catabolism isomerase
WP_068353045.1	1	bifunctional rhamnulose-1-phosphate aldolase/short-chain dehydrogenase
WP_068354580.1	1	FGGY-family carbohydrate kinase
WP_066591798.1	1	DUF5131 family protein
WP_009598150.1	1	DMT family protein
WP_427603203.1	1	DUF4160 domain-containing protein
Unknown	1	DUF4368 domain-containing protein
WP_422824007.1	1	topoisomerase DNA-binding C4 zinc finger domain-containing protein
WP_307768720.1	1	BREX-4 system phosphatase PglZ
WP_006761242.1	1	bifunctional allantoicase/(S)-ureidoglycine aminohydrolase
WP_006761249.1	1	heme ABC transporter ATP-binding protein
WP_328119078.1	1	citrate:proton symporter
WP_328119084.1	1	AVAST type 1 anti-phage system MBL fold metallo-hydrolase Avs1a
WP_328119085.1	1	8-oxo-dGTP diphosphatase
WP_306642756.1	1	GC-type dockerin domain-anchored protein
WP_266160391.1	1	LTA synthase family protein
WP_173286498.1	1	sugar phosphorylase
WP_202696360.1	1	phosphopantetheine-binding protein
WP_304569398.1	1	YbfB/YjiJ family MFS transporter
WP_034111360.1	1	colicin E1 family microcin immunity protein
WP_068742645.1	1	entry exclusion lipoprotein TrbK
WP_102101443.1	1	hemophore-related protein
WP_102103250.1	1	AMP-dependent synthetase/ligase
WP_228905255.1	1	shufflon system plasmid conjugative transfer pilus tip adhesin PilV
WP_048661616.1	1	CoA-disulfide reductase
WP_012088350.1	1	YheV family putative zinc ribbon protein
WP_212600455.1	1	TIGR02444 family protein
WP_263143083.1	1	GMC family oxidoreductase
WP_116156097.1	1	DUF6216 family protein
WP_143898469.1	1	Co2+/Mg2+ efflux protein ApaG
WP_328700776.1	1	Sua5 family C-terminal domain-containing protein
WP_298893876.1	1	metal/formaldehyde-sensitive transcriptional repressor
WP_348544116.1	1	twitching motility protein PilT
WP_348544117.1	1	antitoxin family protein
WP_348544125.1	1	galactose-1-phosphate uridylyltransferase
WP_348544126.1	1	bifunctional methionine sulfoxide reductase B/A protein
WP_015125426.1	1	DUF6876 family protein
WP_015125433.1	1	protein adenylyltransferase Fic
WP_204132514.1	1	carbon monoxide dehydrogenase subunit G
WP_204132515.1	1	aerobic carbon-monoxide dehydrogenase large subunit
WP_175156316.1	1	adenosine deaminase family protein
WP_171037108.1	1	SUMF1/EgtB/PvdO family nonheme iron enzyme
WP_138660019.1	1	sodium:alanine symporter family protein
WP_060439447.1	1	L-ribulose-5-phosphate 3-epimerase
WP_072010265.1	1	DUF6434 domain-containing protein
WP_271880593.1	1	NADPH-dependent 2%2C4-dienoyl-CoA reductase
WP_008560404.1	1	RNA pyrophosphohydrolase
WP_168299324.1	1	apolipoprotein A1/A4/E family protein
WP_407361522.1	1	DUF4188 domain-containing protein
WP_407361524.1	1	monooxygenase family protein
WP_339346464.1	1	DUF4391 domain-containing protein
WP_063290761.1	1	ribbon-helix-helix protein%2C CopG family
WP_036089536.1	1	DUF2316 family protein
WP_036089596.1	1	CBS-HotDog domain-containing transcription factor YtoI
WP_059141439.1	1	bifunctional oligoribonuclease/PAP phosphatase NrnA
WP_036089515.1	1	acetyl-CoA carboxylase carboxyltransferase subunit alpha
WP_012506986.1	1	antitoxin MazE family protein
WP_209252691.1	1	quinolinate synthase NadA
WP_209252693.1	1	L-aspartate oxidase
WP_246462511.1	1	DUF982 domain-containing protein
WP_065695399.1	1	DNA topoisomerase IV subunit B
WP_109961754.1	1	phage tail length tape measure family protein
WP_109961756.1	1	ribosome modulation factor
WP_118917883.1	1	DUF6236 family protein
WP_008243183.1	1	DUF4116 domain-containing protein
WP_008243192.1	1	DUF2779 domain-containing protein
WP_394512466.1	1	DUF2145 domain-containing protein
WP_394512468.1	1	Cu(I)-responsive transcriptional regulator
WP_394512473.1	1	DUF5329 domain-containing protein
WP_211307615.1	1	DUF7149 domain-containing protein
WP_108172007.1	1	MobB family relaxase
WP_187675796.1	1	DUF1048 domain-containing protein
WP_262406205.1	1	TIGR03557 family F420-dependent LLM class oxidoreductase
WP_262406206.1	1	coenzyme F420-0:L-glutamate ligase
WP_340245901.1	1	ApeA
WP_392509608.1	1	adenovirus L4-33K/L4-22K family protein
WP_023582947.1	1	Na+/H+ antiporter
WP_354419654.1	1	DUF262 domain-containing HNH endonuclease family protein
WP_267142399.1	1	flagellar protein FlhE
WP_267142400.1	1	flagellar hook protein FlgE
WP_267142402.1	1	alpha-amylase
WP_273479923.1	1	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB
WP_336698079.1	1	DUF6177 family protein
WP_336698094.1	1	class A beta-lactamase
WP_187046374.1	1	gamma-glutamyltransferase family protein
WP_187046380.1	1	DUF5986 family protein
WP_212506738.1	1	HAAS signaling domain-containing protein
WP_080526354.1	1	4-hydroxyphenylacetate catabolism regulatory protein HpaA
WP_198035519.1	1	p-hydroxyphenylacetate 3-hydroxylase oxygenase component
WP_282857026.1	1	polyprenol phosphomannose-dependent alpha 1%2C6 mannosyltransferase MptB
WP_028269738.1	1	hydantoinase B/oxoprolinase family protein
WP_124702887.1	1	sulfonate ABC transporter substrate-binding protein
WP_008046542.1	1	4-oxalocrotonate tautomerase family protein
WP_017886897.1	1	glutaredoxin-like protein NrdH
WP_027465945.1	1	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI
WP_110864196.1	1	class 1b ribonucleoside-diphosphate reductase subunit alpha
WP_017886894.1	1	class 1b ribonucleoside-diphosphate reductase subunit beta
WP_016773251.1	1	YhcB family protein
WP_024014265.1	1	DUF1329 domain-containing protein
WP_129393018.1	1	general secretion pathway protein GspC
WP_129393021.1	1	DUF3010 family protein
WP_400869006.1	1	Asp23/Gls24 family envelope stress response protein
WP_400869025.1	1	replication initiator
WP_140810303.1	1	YihY/virulence factor BrkB family protein
WP_164184411.1	1	EthD domain-containing protein
WP_223476588.1	1	aldolase
WP_223476589.1	1	3-oxo-tetronate kinase
WP_223476590.1	1	RbsD/FucU domain-containing protein
WP_135709518.1	1	cystathionine beta-lyase
WP_272158301.1	1	BglG family transcription antiterminator
WP_272158267.1	1	PTS sugar transporter subunit IIB
WP_272158269.1	1	PTS ascorbate transporter subunit IIC
WP_047494556.1	1	DNA polymerase
WP_047494559.1	1	ribonuclease H-like domain-containing protein
WP_196079381.1	1	DoxX family membrane protein
WP_273473184.1	1	HI0074 family nucleotidyltransferase substrate-binding subunit
WP_391260774.1	1	neprosin family prolyl endopeptidase
WP_306595299.1	1	DndE family protein
WP_200667184.1	1	retron St85 family effector protein
WP_200667189.1	1	peptidase M41
WP_290523545.1	1	urease accessory protein UreF
WP_290523550.1	1	DnaJ domain-containing protein
WP_290523553.1	1	DUF3336 domain-containing protein
WP_123574821.1	1	Cd(II)/Pb(II)-sensing metalloregulatory transcriptional regulator CmtR
WP_245995507.1	1	malate dehydrogenase (quinone)
WP_123574826.1	1	glycoside hydrolase family 3 N-terminal domain-containing protein
WP_123574827.1	1	phosphatase domain-containing protein
WP_066529852.1	1	NtaA/DmoA family FMN-dependent monooxygenase
Unknown	1	type II secretion system protein GspI
WP_200615462.1	1	aromatic alcohol reductase
WP_348710889.1	1	GLPGLI family protein
WP_232645410.1	1	type IX secretion system membrane protein PorP/SprF
WP_326044086.1	1	beta-glucosidase
WP_028731221.1	1	plasmid stabilization protein
Unknown	1	ArpU family transcriptional regulator
WP_183562511.1	1	DUF427 domain-containing protein
WP_196323884.1	1	aspartate carbamoyltransferase catalytic subunit
WP_276569170.1	1	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
WP_102317691.1	1	monooxygenase
WP_102317697.1	1	galactose-1-epimerase
WP_102317699.1	1	HopJ type III effector protein
WP_328596625.1	1	exodeoxyribonuclease V subunit gamma
WP_377164243.1	1	glycoside hydrolase family 88 protein
WP_081368088.1	1	S49 family peptidase
WP_033080480.1	1	YceH family protein
WP_111326438.1	1	3-isopropylmalate dehydrogenase
WP_034460330.1	1	YhgN family NAAT transporter
Unknown	1	patatin
WP_003094686.1	1	23S rRNA pseudouridine(1911/1915/1917) synthase RluD
WP_114405882.1	1	4a-hydroxytetrahydrobiopterin dehydratase
WP_114405884.1	1	DUF4105 domain-containing protein
WP_022687649.1	1	S1/P1 nuclease
WP_077980503.1	1	nucleotidyltransferase and HEPN domain-containing protein
WP_221977119.1	1	PHB depolymerase family esterase
WP_182650642.1	1	transferase
WP_344823787.1	1	T9SS type B sorting domain-containing protein
WP_352776091.1	1	P-type conjugative transfer protein TrbG
Unknown	1	IS256 family transposase%2C variant Zn-binding type
WP_004695408.1	1	LysR family transcriptional regulator GigC
WP_333641479.1	1	ferredoxin--NADP reductase
WP_146550823.1	1	DUF4129 domain-containing transglutaminase family protein
WP_118686752.1	1	GtrA family protein
WP_195633790.1	1	DUF4214 domain-containing protein
WP_195633794.1	1	LicD family protein
WP_195633796.1	1	NTP transferase domain-containing protein
WP_011875599.1	1	IS21-like element IS408 family transposase
WP_006397350.1	1	IS21-like element IS408 family helper ATPase IstB
WP_415752582.1	1	ribonuclease III
WP_040660015.1	1	multifunctional CCA addition/repair protein
WP_422655784.1	1	DUF7133 domain-containing protein
WP_289283960.1	1	sorbosone dehydrogenase family protein
WP_252080685.1	1	type III pantothenate kinase
WP_129447825.1	1	tRNA-uridine aminocarboxypropyltransferase
WP_325717663.1	1	DUF7079 family protein
WP_164512415.1	1	DNRLRE domain-containing protein
WP_143822918.1	1	DUF4126 family protein
WP_095703414.1	1	glycoside hydrolase family 26 protein
WP_089047957.1	1	murein L%2CD-transpeptidase
WP_218732402.1	1	alkylphosphonate utilization protein
WP_335426920.1	1	5-deoxy-glucuronate isomerase
Unknown	1	Lrp/AsnC ligand binding domain-containing protein
WP_371391225.1	1	recombinase zinc beta ribbon domain-containing protein
WP_371391228.1	1	DUF6710 family protein
WP_348254537.1	1	dual specificity protein phosphatase
WP_292503741.1	1	phage tail tube protein
WP_292503752.1	1	tape measure protein
Unknown	1	TOTE conflict system archaeo-eukaryotic primase domain-containing protein
WP_315010631.1	1	Fic/DOC family protein
WP_315010656.1	1	beta-carotene 15%2C15'-monooxygenase
WP_280330790.1	1	YbhB/YbcL family Raf kinase inhibitor-like protein
WP_280330793.1	1	TIGR01458 family HAD-type hydrolase
WP_323044124.1	1	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
WP_203392877.1	1	D-alanyl-D-alanine carboxypeptidase
WP_207267747.1	1	serine acetyltransferase
WP_397451052.1	1	cupredoxin family copper-binding protein
WP_397451054.1	1	DUF3841 domain-containing protein
WP_221400968.1	1	sodium/proline symporter
WP_017829552.1	1	HhH-GPD-type base excision DNA repair protein
WP_017829557.1	1	glycine--tRNA ligase
WP_120251487.1	1	conjugal transfer protein TrbF
WP_380428096.1	1	CCA tRNA nucleotidyltransferase
WP_380428099.1	1	4-hydroxy-tetrahydrodipicolinate reductase
WP_380428103.1	1	DUF1149 family protein
WP_020977756.1	1	DUF3223 domain-containing protein
WP_101776558.1	1	glycoside hydrolase family 31 protein
WP_095245165.1	1	(Fe-S)-binding protein
WP_095245166.1	1	FAD-linked oxidase C-terminal domain-containing protein
WP_343625849.1	1	photosynthetic complex putative assembly protein PuhB
WP_343625850.1	1	photosynthetic reaction center subunit H
WP_310288549.1	1	M16 family metallopeptidase
WP_003557218.1	1	DCC1-like thiol-disulfide oxidoreductase family protein
WP_003557216.1	1	DUF4166 domain-containing protein
WP_223026358.1	1	tyrosine-protein phosphatase
