Protein ID	Frequency	Description
WP_095100002.1	1	hypothetical protein
WP_141230174.1	1	hypothetical protein
WP_095100007.1	1	winged helix-turn-helix domain-containing protein
WP_176469944.1	1	hypothetical protein
WP_095100010.1	1	hypothetical protein
WP_095100012.1	1	hypothetical protein
WP_024697330.1	1	reverse transcriptase family protein
WP_024697331.1	1	Druantia anti-phage system protein DruA
WP_024697332.1	1	hypothetical protein
WP_345888777.1	1	DNA polymerase III subunit alpha
WP_345888778.1	1	tRNA lysidine(34) synthetase TilS
WP_345888779.1	1	phosphoribosyltransferase-like protein
WP_234500710.1	1	monovalent cation:proton antiporter-2 (CPA2) family protein
WP_345888780.1	1	hypothetical protein
WP_025012018.1	1	patatin-like phospholipase family protein
WP_000893255.1	1	glutamate-5-semialdehyde dehydrogenase
WP_393967822.1	1	UvrD-helicase domain-containing protein
WP_255403447.1	1	UvrD-helicase domain-containing protein
WP_000893262.1	1	glutamate-5-semialdehyde dehydrogenase
WP_001285275.1	1	glutamate 5-kinase
WP_000893225.1	1	glutamate-5-semialdehyde dehydrogenase
WP_079927708.1	1	IS200/IS605 family transposase
WP_079927709.1	1	reverse transcriptase family protein
WP_079927711.1	1	UvrD-helicase domain-containing protein
WP_079927712.1	1	ATP-dependent endonuclease
WP_057095034.1	1	hypothetical protein
WP_228139108.1	1	hypothetical protein
WP_080597950.1	1	YceK/YidQ family lipoprotein
WP_330515536.1	1	hypothetical protein
WP_330515538.1	1	class I SAM-dependent DNA methyltransferase
WP_330515540.1	1	zinc ribbon domain-containing protein
WP_330515542.1	1	hypothetical protein
WP_330515544.1	1	hypothetical protein
WP_330515545.1	1	hypothetical protein
WP_330515547.1	1	hypothetical protein
WP_122436515.1	1	GIY-YIG nuclease family protein
WP_330515549.1	1	hypothetical protein
WP_371890103.1	1	hypothetical protein
WP_349056044.1	1	hypothetical protein
WP_349056073.1	1	response regulator
WP_349056045.1	1	ABC transporter substrate-binding protein
WP_349056046.1	1	ATP-binding protein
WP_349056047.1	1	transposase
WP_349056048.1	1	hypothetical protein
WP_178644824.1	1	hypothetical protein
WP_178644822.1	1	retron St85 family RNA-directed DNA polymerase
WP_349056049.1	1	aldo/keto reductase
WP_349056050.1	1	PTS sugar transporter subunit IIC
WP_349056051.1	1	J domain-containing protein
WP_225488935.1	1	hypothetical protein
WP_305630476.1	1	hypothetical protein
WP_305630477.1	1	NADAR family protein
WP_305630478.1	1	PfkB family carbohydrate kinase
WP_305630479.1	1	hypothetical protein
WP_305630480.1	1	hypothetical protein
WP_305630481.1	1	hypothetical protein
WP_305630482.1	1	HAD hydrolase family protein
WP_305630483.1	1	hypothetical protein
WP_305630484.1	1	hypothetical protein
WP_305630485.1	1	hypothetical protein
WP_305630486.1	1	hypothetical protein
WP_180287817.1	1	SMI1/KNR4 family protein
WP_099760425.1	1	isocitrate lyase
WP_099760426.1	1	hypothetical protein
WP_099760427.1	1	hypothetical protein
WP_143451713.1	1	hypothetical protein
WP_099760429.1	1	hypothetical protein
WP_218968327.1	1	hypothetical protein
WP_143451714.1	1	hypothetical protein
WP_257224898.1	1	transposase
WP_099760431.1	1	acetate--CoA ligase
WP_099760432.1	1	YqhA family protein
WP_012275650.1	1	DEAD/DEAH box helicase
WP_379088833.1	1	basic secretory protein-like protein
WP_379088836.1	1	response regulator
WP_379088839.1	1	sensor histidine kinase
WP_379088842.1	1	hypothetical protein
WP_379088844.1	1	hypothetical protein
WP_379088847.1	1	reverse transcriptase family protein
WP_379088850.1	1	AAA family ATPase
WP_379088853.1	1	AAA family ATPase
WP_379088856.1	1	helix-turn-helix domain-containing protein
WP_220629276.1	1	tRNA dihydrouridine synthase
WP_074509936.1	1	YolD-like family protein
WP_220629277.1	1	hypothetical protein
WP_220629278.1	1	reverse transcriptase family protein
WP_220629279.1	1	hypothetical protein
WP_220629280.1	1	phosphoribosyltransferase
WP_220629281.1	1	DUF3037 domain-containing protein
WP_328824092.1	1	HipA family kinase
WP_220629283.1	1	APC family permease
WP_220629284.1	1	chaperonin GroEL
WP_036812147.1	1	co-chaperone GroES
WP_312461354.1	1	hypothetical protein
WP_286732633.1	1	hypothetical protein
WP_309327518.1	1	hypothetical protein
WP_309327519.1	1	hypothetical protein
WP_309327520.1	1	hypothetical protein
WP_309327522.1	1	DNA cytosine methyltransferase
WP_405051526.1	1	DUF3761 domain-containing protein
WP_309327810.1	1	DNA internalization-related competence protein ComEC/Rec2
WP_309327524.1	1	MOSC domain-containing protein
WP_309327525.1	1	response regulator
WP_321951618.1	1	PaeR7I family type II restriction endonuclease
WP_321951620.1	1	reverse transcriptase family protein
WP_321951622.1	1	hypothetical protein
WP_321951623.1	1	hypothetical protein
WP_111442809.1	1	DNA topoisomerase (ATP-hydrolyzing) subunit B
WP_006498699.1	1	chromosomal replication initiator protein DnaA
WP_293312176.1	1	hypothetical protein
WP_243948433.1	1	SDR family oxidoreductase
WP_243948435.1	1	carboxymuconolactone decarboxylase family protein
WP_243948437.1	1	hypothetical protein
WP_243948439.1	1	tyrosine-type recombinase/integrase
WP_243948441.1	1	trehalose-phosphatase
WP_243948444.1	1	hypothetical protein
WP_243948446.1	1	hypothetical protein
WP_243948447.1	1	hypothetical protein
WP_243948448.1	1	PfkB family carbohydrate kinase
WP_243948450.1	1	TRAP transporter large permease subunit
WP_243948452.1	1	thiamine pyrophosphate-binding protein
WP_053323615.1	1	recombinase family protein
WP_152927751.1	1	hypothetical protein
WP_051672059.1	1	hypothetical protein
WP_034932016.1	1	IS1182 family transposase
WP_156953891.1	1	hypothetical protein
WP_034932024.1	1	ATP-binding domain-containing protein
WP_094642567.1	1	phosphoribosyltransferase-like protein
WP_377535496.1	1	group II intron reverse transcriptase/maturase
WP_377535885.1	1	IS66 family transposase
WP_265723687.1	1	IS66 family insertion sequence element accessory protein TnpB
WP_265723686.1	1	IS66 family insertion sequence element accessory protein TnpA
WP_377535497.1	1	hypothetical protein
WP_265723527.1	1	DUF6942 family protein
WP_265723528.1	1	DMT family transporter
WP_265723529.1	1	LysR substrate-binding domain-containing protein
WP_265723530.1	1	DUF7661 family protein
WP_316144963.1	1	hypothetical protein
WP_316144964.1	1	hypothetical protein
WP_410055585.1	1	hypothetical protein
WP_316144966.1	1	HAD family hydrolase
WP_316144967.1	1	DUF6388 family protein
WP_316144968.1	1	hypothetical protein
WP_316144969.1	1	hypothetical protein
WP_316144970.1	1	hypothetical protein
WP_316144971.1	1	SIR2 family protein
WP_316144972.1	1	N-6 DNA methylase
WP_316144973.1	1	hypothetical protein
WP_098501663.1	1	tyrosine-type recombinase/integrase
WP_098501664.1	1	hypothetical protein
WP_098501665.1	1	hypothetical protein
WP_098501666.1	1	hypothetical protein
WP_098501667.1	1	hypothetical protein
WP_098501668.1	1	helix-turn-helix domain-containing protein
WP_098501669.1	1	phage major capsid protein
WP_098501670.1	1	hypothetical protein
WP_098501671.1	1	hypothetical protein
WP_218011796.1	1	hypothetical protein
WP_346024106.1	1	glycosyltransferase family 2 protein
WP_346024107.1	1	oligosaccharide flippase family protein
WP_346024108.1	1	nitroreductase family protein
WP_346024109.1	1	polysaccharide pyruvyl transferase family protein
WP_346024110.1	1	phosphoribosyltransferase
WP_353418394.1	1	hypothetical protein
WP_353418395.1	1	DUF3883 domain-containing protein
WP_063146938.1	1	RnfH family protein
WP_096148400.1	1	phage repressor protein CI
WP_006666820.1	1	site-specific integrase
WP_000615103.1	1	hypothetical protein
WP_106485365.1	1	reverse transcriptase family protein
WP_106485366.1	1	hypothetical protein
WP_251255949.1	1	hypothetical protein
WP_251255950.1	1	UvrD-helicase domain-containing protein
WP_251255952.1	1	hypothetical protein
WP_251255954.1	1	DUF3883 domain-containing protein
WP_251255956.1	1	integrase
WP_001341638.1	1	type II toxin-antitoxin system toxin RatA
WP_275257222.1	1	hypothetical protein
WP_275257223.1	1	hypothetical protein
WP_114647333.1	1	DNA adenine methylase
WP_114647334.1	1	AAA family ATPase
WP_244566025.1	1	protein NO VEIN domain-containing protein
WP_244566026.1	1	reverse transcriptase family protein
WP_213059509.1	1	hypothetical protein
WP_256740811.1	1	hypothetical protein
WP_007850235.1	1	hypothetical protein
WP_023308884.1	1	RnfH family protein
WP_024908332.1	1	type II toxin-antitoxin system RatA family toxin
WP_136431144.1	1	hypothetical protein
WP_048959070.1	1	RnfH family protein
WP_110812238.1	1	AAA family ATPase
WP_072186414.1	1	hypothetical protein
WP_239496864.1	1	Ig-like domain-containing protein
WP_204353536.1	1	Ig-like domain-containing protein
WP_311215606.1	1	hypothetical protein
WP_311215607.1	1	hypothetical protein
WP_204082027.1	1	hypothetical protein
WP_109866045.1	1	integrase
WP_109866046.1	1	hypothetical protein
WP_001748163.1	1	site-specific integrase
WP_001748164.1	1	phage repressor protein CI
WP_301077952.1	1	TetR/AcrR family transcriptional regulator
WP_301077953.1	1	AMP-binding protein
WP_301077954.1	1	hypothetical protein
WP_301077955.1	1	hypothetical protein
WP_301077956.1	1	hypothetical protein
WP_301077957.1	1	DNA cytosine methyltransferase
WP_301077958.1	1	VOC family protein
WP_301077960.1	1	type II toxin-antitoxin system RelE/ParE family toxin
WP_301077962.1	1	helix-turn-helix domain-containing protein
WP_366143465.1	1	addiction module protein
WP_210409482.1	1	hypothetical protein
WP_210409483.1	1	phosphoribosyltransferase-like protein
WP_201032384.1	1	retron St85 family RNA-directed DNA polymerase
WP_201062895.1	1	reverse transcriptase family protein
WP_201062872.1	1	hypothetical protein
WP_128856042.1	1	DNA topoisomerase III
WP_128856045.1	1	retron St85 family RNA-directed DNA polymerase
WP_256869925.1	1	hypothetical protein
WP_256869926.1	1	hypothetical protein
WP_256869927.1	1	hypothetical protein
WP_128856048.1	1	helix-turn-helix domain-containing protein
WP_128856049.1	1	phage integrase N-terminal SAM-like domain-containing protein
WP_126309156.1	1	helix-turn-helix transcriptional regulator
WP_126310626.1	1	HNH endonuclease
WP_126305554.1	1	ExeA family protein
WP_126305553.1	1	DDE-type integrase/transposase/recombinase
WP_126305552.1	1	DUF6431 domain-containing protein
WP_007649144.1	1	retron St85 family RNA-directed DNA polymerase
WP_040491795.1	1	hypothetical protein
WP_007649150.1	1	hypothetical protein
WP_040491837.1	1	cold-shock protein
WP_007649156.1	1	fatty acid desaturase family protein
WP_007649158.1	1	winged helix-turn-helix domain-containing protein
WP_040491796.1	1	hypothetical protein
WP_406773599.1	1	hypothetical protein
WP_254930318.1	1	efflux RND transporter permease subunit
WP_254930319.1	1	efflux RND transporter periplasmic adaptor subunit
WP_254930320.1	1	hypothetical protein
WP_254930321.1	1	hypothetical protein
WP_254930322.1	1	ribbon-helix-helix domain-containing protein
WP_254930323.1	1	type II toxin-antitoxin system VapC family toxin
WP_254930324.1	1	carbon-nitrogen hydrolase family protein
WP_254930325.1	1	Coq4 family protein
WP_254930326.1	1	antitoxin
WP_226036610.1	1	TetR/AcrR family transcriptional regulator
WP_226036611.1	1	hypothetical protein
WP_226036612.1	1	DUF1878 domain-containing protein
WP_226036613.1	1	ATP-dependent endonuclease
WP_226036614.1	1	UvrD-helicase domain-containing protein
WP_226036615.1	1	hypothetical protein
WP_226036616.1	1	reverse transcriptase family protein
WP_226036617.1	1	hypothetical protein
WP_226036618.1	1	DsbA family oxidoreductase
WP_226036619.1	1	YibE/F family protein
WP_226036620.1	1	YibE/F family protein
WP_117587412.1	1	AbiH family protein
WP_117587413.1	1	methyltransferase
WP_117587414.1	1	hypothetical protein
WP_117587415.1	1	hypothetical protein
WP_117587416.1	1	hypothetical protein
WP_147337095.1	1	hypothetical protein
WP_118085947.1	1	nucleotidyltransferase family protein
WP_117587419.1	1	DNA-processing protein DprA
WP_117587420.1	1	phosphoribosyltransferase family protein
WP_117587421.1	1	hypothetical protein
WP_404306948.1	1	lactate utilization protein
WP_404306950.1	1	TRAP transporter permease
WP_404306952.1	1	TAXI family TRAP transporter solute-binding subunit
WP_404306954.1	1	hypothetical protein
WP_404306955.1	1	hypothetical protein
WP_404306957.1	1	AAA family ATPase
WP_404306959.1	1	response regulator transcription factor
WP_404306961.1	1	PAS domain-containing protein
WP_404306963.1	1	AEC family transporter
WP_404306965.1	1	MFS transporter
WP_404306967.1	1	MFS transporter
WP_281802811.1	1	hypothetical protein
WP_281802813.1	1	methyltransferase
WP_281802828.1	1	hypothetical protein
WP_281802832.1	1	phosphoribosyltransferase-like protein
WP_281802834.1	1	helix-turn-helix domain-containing protein
WP_281802836.1	1	helix-turn-helix domain-containing protein
WP_281802837.1	1	VapE domain-containing protein
WP_289951738.1	1	hypothetical protein
WP_289951740.1	1	hypothetical protein
WP_289951742.1	1	hypothetical protein
WP_289951744.1	1	reverse transcriptase family protein
WP_289951746.1	1	hypothetical protein
WP_289951748.1	1	hypothetical protein
WP_289951749.1	1	hypothetical protein
WP_289951751.1	1	hypothetical protein
WP_289951753.1	1	helix-turn-helix transcriptional regulator
WP_289951756.1	1	hypothetical protein
WP_289951757.1	1	site-specific integrase
WP_260706618.1	1	hypothetical protein
WP_260706619.1	1	TIR domain-containing protein
WP_260706620.1	1	carbohydrate kinase family protein
WP_260706621.1	1	hypothetical protein
WP_260706622.1	1	hypothetical protein
WP_260706623.1	1	hypothetical protein
WP_260706624.1	1	hypothetical protein
WP_260706625.1	1	hypothetical protein
WP_260706626.1	1	dipeptidase
WP_260706627.1	1	GMC oxidoreductase
WP_260706628.1	1	gluconate 2-dehydrogenase subunit 3 family protein
WP_123895711.1	1	hypothetical protein
WP_238326637.1	1	Mu transposase C-terminal domain-containing protein
WP_145956359.1	1	hypothetical protein
WP_238326638.1	1	beta strand repeat-containing protein
WP_085546126.1	1	hypothetical protein
WP_085546127.1	1	filamentous hemagglutinin N-terminal domain-containing protein
WP_172411484.1	1	hypothetical protein
WP_196122624.1	1	LysR family transcriptional regulator
WP_196122625.1	1	multidrug effflux MFS transporter
WP_196122626.1	1	glycosyl hydrolase
WP_196122627.1	1	N-6 DNA methylase
WP_196122628.1	1	hypothetical protein
WP_196122629.1	1	hypothetical protein
WP_196122630.1	1	hypothetical protein
WP_196122631.1	1	beta-glucoside-specific PTS transporter subunit IIABC
WP_196122632.1	1	glycoside hydrolase family 1 protein
WP_196122633.1	1	tetratricopeptide repeat protein
WP_258578521.1	1	hypothetical protein
WP_080925314.1	1	reverse transcriptase domain-containing protein
WP_258578522.1	1	hypothetical protein
WP_244211874.1	1	hypothetical protein
WP_258578523.1	1	DUF3077 domain-containing protein
WP_258578524.1	1	ADP-glyceromanno-heptose 6-epimerase
WP_258578525.1	1	hypothetical protein
WP_258578526.1	1	hypothetical protein
WP_202089475.1	1	phosphoribosyltransferase
WP_202089476.1	1	ABC-F family ATP-binding cassette domain-containing protein
WP_202089477.1	1	alpha/beta fold hydrolase
WP_202089478.1	1	reverse transcriptase family protein
WP_202089479.1	1	hypothetical protein
WP_202089480.1	1	hypothetical protein
WP_202089481.1	1	adenylosuccinate synthase
WP_202089482.1	1	endonuclease/exonuclease/phosphatase family protein
WP_202089483.1	1	nuclear transport factor 2 family protein
WP_202089484.1	1	VOC family protein
WP_202089485.1	1	DUF1634 domain-containing protein
WP_107653146.1	1	NADAR family protein
WP_107653147.1	1	PfkB family carbohydrate kinase
WP_107653148.1	1	HAD hydrolase family protein
WP_107653149.1	1	hypothetical protein
WP_107653150.1	1	hypothetical protein
WP_107653151.1	1	phosphoribosyltransferase-like protein
WP_183697385.1	1	hypothetical protein
WP_183697387.1	1	IS982 family transposase
WP_183697390.1	1	hypothetical protein
WP_183697393.1	1	hypothetical protein
WP_183697397.1	1	hypothetical protein
WP_183697402.1	1	DNA methyltransferase
WP_183697405.1	1	HipA domain-containing protein
WP_183697407.1	1	HipA N-terminal domain-containing protein
WP_074452762.1	1	helix-turn-helix transcriptional regulator
WP_183697410.1	1	NERD domain-containing protein
WP_200758657.1	1	hypothetical protein
WP_200758658.1	1	hypothetical protein
WP_118082171.1	1	ISL3 family transposase
WP_200758725.1	1	DUF4145 domain-containing protein
WP_281113902.1	1	DUF262 domain-containing protein
WP_281113903.1	1	SOS response-associated peptidase family protein
WP_281113904.1	1	LexA family protein
WP_281113905.1	1	translesion error-prone DNA polymerase V subunit UmuC
WP_281113906.1	1	reverse transcriptase family protein
WP_281113907.1	1	phosphoribosyltransferase-like protein
WP_281113908.1	1	AAA domain-containing protein
WP_281113909.1	1	guanine deaminase
WP_141155772.1	1	xanthine dehydrogenase accessory protein XdhC
WP_281113910.1	1	xanthine dehydrogenase molybdopterin binding subunit
WP_092486753.1	1	xanthine dehydrogenase small subunit
WP_039541957.1	1	AAA family ATPase
WP_039542070.1	1	AbiEi antitoxin N-terminal domain-containing protein
WP_039541959.1	1	hypothetical protein
WP_039541961.1	1	hypothetical protein
WP_039541964.1	1	hypothetical protein
WP_039541967.1	1	hypothetical protein
WP_039541970.1	1	DNA cytosine methyltransferase
WP_039541972.1	1	zincin-like metallopeptidase domain-containing protein
WP_039541974.1	1	DUF3768 domain-containing protein
WP_039541977.1	1	ParB/RepB/Spo0J family partition protein
WP_122218330.1	1	hypothetical protein
WP_122218331.1	1	hypothetical protein
WP_122218332.1	1	reverse transcriptase family protein
WP_122218333.1	1	hypothetical protein
WP_122218334.1	1	hypothetical protein
WP_180167667.1	1	hypothetical protein
WP_127564109.1	1	siderophore-interacting protein
WP_180167668.1	1	PadR family transcriptional regulator
WP_180167669.1	1	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type
WP_180167670.1	1	DNA cytosine methyltransferase
WP_180167671.1	1	hypothetical protein
WP_180167672.1	1	hypothetical protein
WP_180167673.1	1	hypothetical protein
WP_180167797.1	1	hypothetical protein
WP_180167674.1	1	TonB family protein
WP_180167675.1	1	hypothetical protein
WP_353532871.1	1	RraA family protein
WP_353532872.1	1	hypothetical protein
WP_353532873.1	1	AAA family ATPase
WP_353532874.1	1	hypothetical protein
WP_353532875.1	1	hypothetical protein
WP_353532876.1	1	hypothetical protein
WP_353532878.1	1	reverse transcriptase family protein
WP_353532879.1	1	hypothetical protein
WP_353532880.1	1	hypothetical protein
WP_353532881.1	1	recombinase family protein
WP_353532882.1	1	hypothetical protein
WP_203590391.1	1	hypothetical protein
WP_341724721.1	1	P-type conjugative transfer ATPase TrbB
WP_341724059.1	1	CopG family transcriptional regulator
WP_425605360.1	1	IncP-type conjugal transfer protein TraG
WP_341724060.1	1	DUF3363 domain-containing protein
WP_341724061.1	1	reverse transcriptase family protein
WP_341724062.1	1	phosphoribosyltransferase-like protein
WP_341724063.1	1	lytic transglycosylase domain-containing protein
WP_341724064.1	1	S26 family signal peptidase
WP_341724065.1	1	DUF2840 domain-containing protein
WP_341724066.1	1	chromosome partitioning protein ParB
WP_341724067.1	1	ParA family partition ATPase
WP_035708196.1	1	DUF2235 domain-containing protein
WP_035708212.1	1	hypothetical protein
WP_035708200.1	1	cell division protein FtsZ
WP_035708203.1	1	hypothetical protein
WP_333938152.1	1	dUTP diphosphatase
WP_271524854.1	1	hypothetical protein
WP_035708206.1	1	50S ribosomal protein L28
WP_193374137.1	1	DUF3108 domain-containing protein
WP_271524856.1	1	helicase-related protein
WP_035708232.1	1	ferredoxin FdxA
WP_224980888.1	1	hypothetical protein
WP_224980889.1	1	hypothetical protein
WP_224980890.1	1	PIN domain-containing protein
WP_224980891.1	1	hypothetical protein
WP_224980892.1	1	hypothetical protein
WP_224980893.1	1	uracil phosphoribosyltransferase
WP_224980894.1	1	hypothetical protein
WP_224980895.1	1	DEAD/DEAH box helicase
WP_224980896.1	1	EcoAI/FtnUII family type I restriction enzme subunit R
WP_224980897.1	1	type I restriction-modification system subunit M
WP_224980898.1	1	restriction endonuclease subunit S
WP_002191944.1	1	YdeI/OmpD-associated family protein
WP_002191943.1	1	YafY family protein
WP_197228010.1	1	DinB family protein
WP_215567988.1	1	retron St85 family RNA-directed DNA polymerase
WP_215567989.1	1	winged helix-turn-helix domain-containing protein
WP_215567990.1	1	uracil phosphoribosyltransferase
WP_215567991.1	1	AAA family ATPase
WP_016128028.1	1	IS6 family transposase
WP_016128027.1	1	sigma-70 family RNA polymerase sigma factor
WP_016128026.1	1	DUF4179 domain-containing protein
WP_260756152.1	1	IS21 family transposase
WP_260756153.1	1	IS21 family transposase
WP_260756154.1	1	hypothetical protein
WP_260756156.1	1	hypothetical protein
WP_260756159.1	1	hypothetical protein
WP_087920795.1	1	L%2CD-transpeptidase family protein
WP_326156959.1	1	metallophosphoesterase
WP_326156960.1	1	2%2C4-dienoyl-CoA reductase
WP_326156962.1	1	hypothetical protein
WP_326156964.1	1	EAL-associated domain-containing protein
WP_326156965.1	1	hypothetical protein
WP_326156967.1	1	retron St85 family RNA-directed DNA polymerase
WP_007409617.1	1	ribonuclease H-like YkuK family protein
WP_003154609.1	1	antirepressor AbbA
WP_292621958.1	1	CBASS cGAMP-activated phospholipase
WP_292621960.1	1	hypothetical protein
WP_292621963.1	1	nucleotidyltransferase
WP_136616157.1	1	helix-turn-helix domain-containing protein
WP_292621967.1	1	ImmA/IrrE family metallo-endopeptidase
WP_292621970.1	1	ATP-binding protein
WP_292621973.1	1	hypothetical protein
WP_292621976.1	1	hypothetical protein
WP_292621979.1	1	hypothetical protein
WP_292621983.1	1	hypothetical protein
WP_393047522.1	1	sialate O-acetylesterase
WP_393047525.1	1	hypothetical protein
WP_393047528.1	1	hypothetical protein
WP_393047530.1	1	hypothetical protein
WP_393047533.1	1	JAB domain-containing protein
WP_393047536.1	1	hypothetical protein
WP_393047539.1	1	hypothetical protein
WP_393047541.1	1	reverse transcriptase domain-containing protein
WP_393047544.1	1	putative phage abortive infection protein
WP_393047548.1	1	type I restriction endonuclease subunit R
WP_393047550.1	1	abortive infection family protein
WP_341097413.1	1	response regulator transcription factor
WP_341097414.1	1	HAMP domain-containing sensor histidine kinase
WP_341097415.1	1	hypothetical protein
WP_341097416.1	1	DinB family protein
WP_341097417.1	1	DUF3656 domain-containing protein
WP_341097418.1	1	hypothetical protein
WP_341097419.1	1	LysR family transcriptional regulator
WP_341097420.1	1	pyruvate kinase
WP_341097421.1	1	cold-inducible protein YdjO-related protein
WP_076111861.1	1	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
WP_341097422.1	1	hybrid sensor histidine kinase/response regulator transcription factor
WP_254835312.1	1	hypothetical protein
WP_254835313.1	1	hypothetical protein
WP_254835314.1	1	helix-turn-helix transcriptional regulator
WP_254835315.1	1	hypothetical protein
WP_254835316.1	1	HAD hydrolase family protein
WP_254835317.1	1	hypothetical protein
WP_254835318.1	1	hypothetical protein
WP_254835319.1	1	hypothetical protein
WP_254835320.1	1	PfkB family carbohydrate kinase
WP_371876889.1	1	response regulator
WP_254835322.1	1	recombinase family protein
WP_005265417.1	1	TauD/TfdA family dioxygenase
WP_210787474.1	1	hypothetical protein
WP_210787475.1	1	hypothetical protein
WP_210787476.1	1	hypothetical protein
WP_210787477.1	1	DUF4259 domain-containing protein
WP_210787478.1	1	hypothetical protein
WP_285209260.1	1	hypothetical protein
WP_285209261.1	1	phospholipase D-like domain-containing protein
WP_309243168.1	1	hypothetical protein
WP_255089149.1	1	hypothetical protein
WP_255089151.1	1	AAA domain-containing protein
WP_096855504.1	1	hypothetical protein
WP_368294976.1	1	phospholipase D-like domain-containing protein
WP_002914164.1	1	SsrA-binding protein SmpB
WP_162543953.1	1	hypothetical protein
WP_340580724.1	1	reverse transcriptase family protein
WP_023279681.1	1	IS5-like element ISKpn26 family transposase
WP_228703182.1	1	AAA domain-containing protein
WP_148673124.1	1	IS3 family transposase
WP_332377795.1	1	caspase family protein
WP_332377796.1	1	hypothetical protein
WP_332377797.1	1	relaxase/mobilization nuclease domain-containing protein
WP_237367573.1	1	hypothetical protein
WP_001680212.1	1	IS1 family transposase
WP_237723688.1	1	relaxase/mobilization nuclease domain-containing protein
WP_416263238.1	1	AAA domain-containing protein
WP_204363130.1	1	reverse transcriptase family protein
WP_204363128.1	1	hypothetical protein
WP_204363129.1	1	AAA domain-containing protein
WP_223332460.1	1	AAA domain-containing protein
WP_223332461.1	1	phage integrase central domain-containing protein
WP_374875291.1	1	AAA domain-containing protein
WP_370429708.1	1	hypothetical protein
WP_181852543.1	1	IS5 family transposase
WP_263755443.1	1	reverse transcriptase family protein
WP_159088873.1	1	hypothetical protein
WP_227533019.1	1	hypothetical protein
WP_159089469.1	1	hypothetical protein
WP_255055022.1	1	hypothetical protein
WP_369783710.1	1	reverse transcriptase family protein
WP_004225014.1	1	IS5 family transposase
WP_369783753.1	1	hypothetical protein
WP_004099053.1	1	IS5-like element IS903B family transposase
WP_181586354.1	1	fimbrial protein
WP_072198477.1	1	IS5 family transposase
WP_181586355.1	1	hypothetical protein
WP_181586356.1	1	AAA domain-containing protein
WP_181586357.1	1	IS5-like element IS903B family transposase
WP_306589150.1	1	reverse transcriptase family protein
WP_306589151.1	1	AAA domain-containing protein
WP_368296288.1	1	IS5 family transposase
WP_368296289.1	1	phospholipase D-like domain-containing protein
WP_001554957.1	1	IS1 family transposase
WP_429913206.1	1	tyrosine-type recombinase/integrase
WP_275349696.1	1	hypothetical protein
WP_315964798.1	1	hypothetical protein
WP_001348715.1	1	IS1 family transposase
WP_116979165.1	1	AAA domain-containing protein
WP_047353200.1	1	hypothetical protein
WP_410054638.1	1	phospholipase D-like domain-containing protein
WP_222847776.1	1	reverse transcriptase family protein
WP_270993885.1	1	hypothetical protein
WP_237200808.1	1	hypothetical protein
WP_342139700.1	1	DUF3302 domain-containing protein
WP_342139701.1	1	HlyD family secretion protein
WP_342139703.1	1	hypothetical protein
WP_023280427.1	1	hypothetical protein
WP_342139704.1	1	phospholipase D-like domain-containing protein
WP_342139705.1	1	AAA domain-containing protein
WP_342139706.1	1	integrase domain-containing protein
WP_102063369.1	1	phospholipase D-like domain-containing protein
WP_142381959.1	1	hypothetical protein
WP_345769465.1	1	relaxase/mobilization nuclease domain-containing protein
WP_345769466.1	1	hypothetical protein
WP_158414493.1	1	hypothetical protein
WP_227502667.1	1	hypothetical protein
WP_258960139.1	1	C-terminal helicase domain-containing protein
WP_001401901.1	1	IS1 family transposase
WP_109266406.1	1	phospholipase D-like domain-containing protein
WP_329958259.1	1	phospholipase D-like domain-containing protein
WP_329958258.1	1	hypothetical protein
WP_004172904.1	1	hypothetical protein
WP_279915268.1	1	AAA domain-containing protein
WP_332095267.1	1	phospholipase D-like domain-containing protein
WP_085447662.1	1	reverse transcriptase family protein
WP_001509131.1	1	IS1 family transposase
WP_265716424.1	1	phospholipase D-like domain-containing protein
WP_193408145.1	1	IS5-like element IS903B family transposase
WP_193408146.1	1	hypothetical protein
WP_195508355.1	1	hypothetical protein
WP_114073662.1	1	hypothetical protein
WP_114074506.1	1	competence protein CoiA family protein
WP_145964358.1	1	hypothetical protein
WP_114073663.1	1	ATP-dependent nuclease
WP_114073664.1	1	UvrD-helicase domain-containing protein
WP_114073665.1	1	hypothetical protein
WP_114073666.1	1	reverse transcriptase family protein
WP_114073667.1	1	DNA topoisomerase (ATP-hydrolyzing) subunit B
WP_046155229.1	1	DNA polymerase III subunit beta
WP_114073668.1	1	chromosomal replication initiator protein DnaA
WP_190282553.1	1	acetolactate synthase AlsS
WP_230412466.1	1	DUF6035 family protein
WP_137983861.1	1	hypothetical protein
WP_137983862.1	1	AAA family ATPase
WP_137983876.1	1	alpha/beta hydrolase domain-containing protein
WP_137983863.1	1	reverse transcriptase family protein
WP_137983864.1	1	hypothetical protein
WP_137983866.1	1	reverse transcriptase domain-containing protein
WP_137983868.1	1	restriction endonuclease
WP_014795726.1	1	DDE-type integrase/transposase/recombinase
WP_158309880.1	1	TniQ family protein
WP_014795728.1	1	HsdM family class I SAM-dependent methyltransferase
WP_014795729.1	1	hypothetical protein
WP_014795730.1	1	hypothetical protein
WP_014795731.1	1	phosphoribosyltransferase-like protein
