Most Frequent Protein ID	Frequency	Description
WP_084286554.1	1	putative quorum-sensing-regulated virulence factor
WP_348567915.1	1	YfgM family protein
WP_348568063.1	1	phosphoribosyltransferase family protein
WP_214808126.1	1	DUF4362 domain-containing protein
WP_038480281.1	1	virulence-associated ABC transporter ATP-binding protein SfbB
WP_038480298.1	1	tRNA 2-selenouridine(34) synthase MnmH
WP_147570317.1	1	PucR family transcriptional regulator ligand-binding domain-containing protein
WP_239512550.1	1	fluoride efflux transporter FluC
WP_017835897.1	1	NRDE family protein
WP_017835898.1	1	2-oxoacid:ferredoxin oxidoreductase subunit beta
Unknown	1	PTS beta-glucoside transporter subunit IIBCA
WP_331844475.1	1	glucose 1-dehydrogenase
WP_196712425.1	1	ribonuclease toxin immunity protein CdiI
WP_005431208.1	1	HI1450 family dsDNA-mimic protein
WP_321552593.1	1	DUF3275 family protein
WP_006662108.1	1	lipase family alpha/beta hydrolase
WP_006662109.1	1	T6SS immunity protein Tli4 family protein
WP_006662117.1	1	LPO_1073/Vpar_1526 family protein
WP_006662118.1	1	DUF2345 domain-containing protein
WP_279863065.1	1	BRO-N domain-containing protein
WP_279863067.1	1	acetoin dehydrogenase dihydrolipoyllysine-residue acetyltransferase subunit
WP_044400480.1	1	alpha-ketoacid dehydrogenase subunit beta
WP_279863068.1	1	thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha
WP_279863069.1	1	ATP-NAD kinase family protein
WP_249025001.1	1	B12-binding domain-containing radical SAM protein
WP_008685811.1	1	peroxidase family protein
WP_166849088.1	1	phosphoglycerate dehydrogenase
WP_248701578.1	1	DUF5776 domain-containing protein
WP_243127986.1	1	DUF7666 domain-containing protein
WP_227160322.1	1	DUF3742 family protein
WP_071163618.1	1	DUF5808 domain-containing protein
WP_012419701.1	1	MraZ protein
WP_322387591.1	1	Mph(B) family macrolide 2'-phosphotransferase
WP_001096887.1	1	aminoglycoside O-phosphotransferase APH(3')-IIIa
Unknown	1	glycoside hydrolase family 68 protein
WP_204777149.1	1	DUF6625 family protein
WP_283431349.1	1	cytochrome c3 family protein
WP_283431350.1	1	Tll0287-like domain-containing protein
WP_283431351.1	1	globin family protein
WP_093216366.1	1	HAAS signaling domain-containing protein
WP_246724243.1	1	GYD domain-containing protein
WP_296115248.1	1	flavocytochrome c
WP_056211574.1	1	amino acid deaminase/aldolase
WP_006062534.1	1	HypC/HybG/HupF family hydrogenase formation chaperone
WP_075177223.1	1	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
WP_075177230.1	1	ABC transporter substrate binding protein
WP_262427005.1	1	OPT/YSL family transporter
WP_262427006.1	1	AroM family protein
WP_215653504.1	1	DUF1177 domain-containing protein
WP_011267876.1	1	CitMHS family transporter
WP_118032658.1	1	competence protein
WP_221695466.1	1	UbiD family decarboxylase
Unknown	1	UbiX family flavin prenyltransferase
WP_368667919.1	1	DUF6499 domain-containing protein
WP_396660851.1	1	L-rhamnose mutarotase
WP_340555000.1	1	toxin-activating lysine-acyltransferase
WP_364301928.1	1	ArsA family ATPase
WP_248799041.1	1	C13 family peptidase
WP_265849770.1	1	TIGR03364 family FAD-dependent oxidoreductase
WP_237505110.1	1	DUF7002 family protein
WP_278286155.1	1	zinc dependent phospholipase C family protein
WP_208559313.1	1	CD3324 family protein
WP_179542526.1	1	glutamate synthase small subunit
Unknown	1	nitrogen assimilation transcriptional regulator
WP_226601614.1	1	Ger(x)C family spore germination protein
WP_226601615.1	1	GerAB/ArcD/ProY family transporter
WP_226601616.1	1	spore germination protein
WP_111509847.1	1	nucleoside/nucleotide kinase family protein
WP_147607110.1	1	flagellar motor switch protein
WP_347480920.1	1	transporter associated domain-containing protein
WP_019842771.1	1	YfjP family GTPase
WP_001082319.1	1	aminoglycoside O-phosphotransferase APH(3'')-Ib
WP_000480968.1	1	aminoglycoside O-phosphotransferase APH(6)-Id
Unknown	1	DUF59 domain-containing protein
Unknown	1	gfo/Idh/MocA family oxidoreductase
WP_276168666.1	1	tRNA dihydrouridine synthase DusB
WP_194529205.1	1	methylmalonyl-CoA epimerase
WP_276168674.1	1	phosphatase
WP_073514543.1	1	IS66-like element ISEc8 family transposase
WP_000920568.1	1	dicB transcriptional regulator DicC
WP_000448563.1	1	DNA-binding transcriptional dual regulator DicA
WP_369282214.1	1	transposon-encoded TnpW family protein
Unknown	1	copper/silver sensor histidine kinase SilS
WP_230002151.1	1	4'-phosphopantetheinyl transferase family protein
WP_255663329.1	1	acyltransferase domain-containing protein
WP_230002152.1	1	polyketide synthase
WP_264233331.1	1	polysaccharide lyase family 7 protein
WP_264233333.1	1	DUF1654 domain-containing protein
WP_264233681.1	1	DUF5329 domain-containing protein
Unknown	1	DUF1264 domain-containing protein
WP_251500743.1	1	DUF3879 family protein
WP_001190234.1	1	3-deoxy-7-phosphoheptulonate synthase
WP_274294689.1	1	murein L%2CD-transpeptidase catalytic domain family protein
WP_087702127.1	1	cobyrinate a%2Cc-diamide synthase
WP_087702128.1	1	sirohydrochlorin cobaltochelatase
WP_226533979.1	1	DUF2333 family protein
WP_313128484.1	1	DUF6236 family protein
WP_325049190.1	1	nitroreductase/quinone reductase family protein
WP_263833333.1	1	arginyltransferase
WP_263070988.1	1	TcfC E-set like domain-containing protein
Unknown	1	pesticin domain-containing protein
WP_237606002.1	1	protein kinase/lanthionine synthetase C family protein
WP_331779487.1	1	F510_1955 family glycosylhydrolase
WP_244304743.1	1	lipid II:glycine glycyltransferase FemX
WP_166290468.1	1	bifunctional DNA primase/polymerase
WP_400664474.1	1	DUF6018 family natural product bioysynthesis protein
Unknown	1	IS3-like element IS600 family transposase
Unknown	1	ABC transporter
WP_282411024.1	1	pyrophosphatase
Unknown	1	EutP/PduV family microcompartment system protein
WP_285132274.1	1	SAF domain-containing protein
WP_003879954.1	1	glycerol-3-phosphate 1-O-acyltransferase
WP_054602757.1	1	HAD-IB family hydrolase/lysophospholipid acyltransferase family protein
WP_054602758.1	1	wax ester/triacylglycerol synthase family O-acyltransferase
Unknown	1	NgoFVII family restriction endonuclease
WP_044264508.1	1	(4S)-4-hydroxy-5-phosphonooxypentane-2%2C3-dione isomerase
WP_265357272.1	1	LA_0442/LA_0875 N-terminal domain-containing protein
Unknown	1	lysine 2%2C3-aminomutase
WP_269800961.1	1	DUF6331 family protein
WP_217078133.1	1	amidase domain-containing protein
WP_217077590.1	1	CoA pyrophosphatase
WP_217077597.1	1	DUF5662 family protein
WP_194634393.1	1	bacteriorhodopsin-like
WP_028624202.1	1	DUF6538 domain-containing protein
WP_154604499.1	1	DUF1120 domain-containing protein
WP_181478069.1	1	fimbria/pilus chaperone family protein
WP_128098697.1	1	tripartite tricarboxylate transporter substrate binding protein
WP_016492677.1	1	electron transfer flavoprotein subunit beta/FixA family protein
WP_072297239.1	1	trigger factor
WP_004841918.1	1	FprA family A-type flavoprotein
WP_145517114.1	1	SspB-related isopeptide-forming adhesin
WP_124248658.1	1	TIGR03086 family metal-binding protein
WP_124248651.1	1	methylenetetrahydrofolate reductase
WP_332922695.1	1	DUF4248 domain-containing protein
Unknown	1	5'-3' exonuclease H3TH domain-containing protein
WP_007476116.1	1	30S ribosomal protein S14
WP_367833179.1	1	SlyX family protein
WP_367833185.1	1	peptidoglycan-binding protein
WP_346355636.1	1	subtype B tannase
WP_346355638.1	1	alanyl-tRNA editing protein
WP_302158548.1	1	glycosyltransferase family 1 protein
WP_194685161.1	1	acetoin reductase
WP_008844529.1	1	integrase family protein
WP_008844532.1	1	glycoside hydrolase family 15 protein
WP_307118975.1	1	protein NO VEIN domain-containing protein
WP_307118977.1	1	single-stranded-DNA-specific exonuclease RecJ
WP_205592686.1	1	malate dehydrogenase
WP_116156166.1	1	N-acetyl-D-Glu racemase DgcA
WP_116156167.1	1	alanine transaminase
WP_188741156.1	1	TylF/MycF/NovP-related O-methyltransferase
WP_188741158.1	1	DUF4573 domain-containing protein
WP_339913839.1	1	ribonuclease E/G
WP_339913977.1	1	penicillin-binding protein 1A
WP_339913844.1	1	polymer-forming cytoskeletal protein
WP_307293143.1	1	AVAST type 4 anti-phage nuclease Avs4
WP_339883673.1	1	DUF962 domain-containing protein
WP_339883675.1	1	YfiT family bacillithiol transferase
WP_060511551.1	1	IclR family transcriptional regulator C-terminal domain-containing protein
WP_060511555.1	1	acyl-CoA synthetase
WP_060511559.1	1	2%2C4%2C5-trihydroxytoluene oxygenase
WP_307190556.1	1	DUF7149 domain-containing protein
WP_159539613.1	1	metallopeptidase family protein
WP_000343613.1	1	IS256-like element ISEc39 family transposase
WP_133968462.1	1	methyltetrahydrofolate cobalamin methyltransferase
WP_133968464.1	1	uroporphyrinogen decarboxylase family protein
WP_133968474.1	1	lectin like domain-containing protein
WP_133968479.1	1	DUF86 domain-containing protein
WP_133969712.1	1	YcbK family protein
WP_110653308.1	1	DUF2341 domain-containing protein
WP_110653309.1	1	short-chain dehydrogenase
WP_004426365.1	1	dicarboxylate/amino acid:cation symporter
WP_319629147.1	1	type VI secretion system contractile sheath large subunit
WP_115274833.1	1	sigma-54 interaction domain-containing protein
WP_267232343.1	1	subclass B3 metallo-beta-lactamase
WP_323690794.1	1	nitroreductase
WP_194325480.1	1	DUF3130 domain-containing protein
WP_194325481.1	1	ribonuclease P
WP_248411066.1	1	StaA
WP_306168009.1	1	glycoside hydrolase family 2 protein
WP_306168011.1	1	globin
WP_306168012.1	1	DUF3131 domain-containing protein
WP_067710153.1	1	RNase A-like domain-containing protein
Unknown	1	DUF4193 family protein
WP_264208266.1	1	acyl carrier protein phosphodiesterase
WP_402737234.1	1	putative oxygenase MesX
WP_110937740.1	1	YjcZ family sporulation protein
Unknown	1	guanylate kinase
WP_304450696.1	1	beta-ketoacyl synthase N-terminal-like domain-containing protein
WP_191594533.1	1	formimidoylglutamate deiminase
WP_191594543.1	1	TRAP transporter large permease
WP_022579740.1	1	mercuric ion transporter MerT
WP_251490487.1	1	copper amine oxidase N-terminal domain-containing protein
WP_251490538.1	1	DUF4241 domain-containing protein
WP_031511791.1	1	fatty acid synthase subunit beta domain-containing protein
WP_051616771.1	1	DUF262 and DUF1524 domain-containing protein
WP_061154339.1	1	isopenicillin N synthase family dioxygenase
WP_222464491.1	1	ATP-dependent zinc protease
WP_346804720.1	1	BapA/Bap/LapF family prefix-like domain-containing protein
WP_346804736.1	1	tetratricopeptide repeat-containing glycosyltransferase
WP_000082736.1	1	IS5-like element ISEc68 family transposase
WP_052127524.1	1	DUF3824 domain-containing protein
Unknown	1	class A beta-lactamase
WP_139887763.1	1	acrylyl-CoA reductase (NADPH)
WP_366208293.1	1	DUF6685 family protein
WP_364434715.1	1	PrgI family mobile element protein
WP_364434730.1	1	acyl-ACP thioesterase domain-containing protein
WP_355080029.1	1	NADPH:quinone oxidoreductase family protein
WP_290802339.1	1	LysM domain-containing protein
WP_059058340.1	1	zf-TFIIB domain-containing protein
WP_059058304.1	1	long-chain-fatty-acid--CoA ligase
WP_059058307.1	1	isocitrate lyase/phosphoenolpyruvate mutase family protein
WP_293287802.1	1	His-Xaa-Ser system-associated MauG-like protein
WP_293287805.1	1	TIGR03982 family His-Xaa-Ser system protein
WP_160432006.1	1	aconitase family protein
WP_200577883.1	1	NtaA/DmoA family FMN-dependent monooxygenase
WP_088666167.1	1	glycerol-3-phosphate cytidylyltransferase
WP_108476388.1	1	[formate-C-acetyltransferase]-activating enzyme
WP_320241705.1	1	HYC_CC_PP family protein
Unknown	1	DUF2236 domain-containing protein
WP_270456761.1	1	IS66 family transposase zinc-finger binding domain-containing protein
WP_353955360.1	1	DUF4422 domain-containing protein
WP_352920898.1	1	P-type conjugative transfer protein TrbL
WP_352517828.1	1	conjugal transfer protein TrbF
WP_023680065.1	1	PAN domain-containing protein
WP_222999381.1	1	polymorphic toxin type 44 domain-containing protein
WP_271118224.1	1	DUF3768 domain-containing protein
WP_080148790.1	1	NADPH:quinone reductase
WP_099306510.1	1	RlmE family RNA methyltransferase
WP_158032576.1	1	pantetheine-phosphate adenylyltransferase
WP_158032514.1	1	GlcG/HbpS family heme-binding protein
WP_013390852.1	1	glutaredoxin
WP_028888037.1	1	RNA polymerase-associated protein RapA
WP_304702520.1	1	3-oxoadipyl-CoA thiolase
WP_296251367.1	1	adenine nucleotide alpha hydrolase
WP_357681908.1	1	nitrate- and nitrite sensing domain-containing protein
WP_357681910.1	1	roadblock/LC7 domain-containing protein
WP_090783526.1	1	LicD family protein
WP_186679046.1	1	CrpP family ICE-associated protein
WP_186679042.1	1	DUF6765 family protein
WP_318364086.1	1	lipoate--protein ligase LplA
WP_072570447.1	1	YtjB family periplasmic protein
WP_072570452.1	1	phosphoserine phosphatase
WP_072570454.1	1	multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR
WP_132225607.1	1	STM4504/CBY_0614 family protein
WP_132225611.1	1	DUF4160 domain-containing protein
WP_032685463.1	1	IS630-like element ISPsy32 family transposase
WP_054077520.1	1	IS21-like element ISPsy4 family transposase
WP_353096917.1	1	RipA family octameric membrane protein
WP_016357135.1	1	putative bacteriocin-associated integral membrane protein
WP_119296293.1	1	DUF6993 domain-containing protein
WP_023624520.1	1	threonine aldolase family protein
WP_120000372.1	1	ion channel
Unknown	1	23S rRNA (uracil-5-)-methyltransferase RumA
WP_051644096.1	1	L-idonate 5-dehydrogenase
WP_130986021.1	1	phage tail protein I
WP_130986024.1	1	baseplate assembly protein
WP_130986032.1	1	phage virion morphogenesis protein
WP_227746158.1	1	Rz1-like lysis system protein LysC
Unknown	1	Rz-like lysis system protein LysB
WP_130986038.1	1	glycoside hydrolase family 104 protein
WP_234250628.1	1	ribonucleotide-diphosphate reductase subunit alpha
WP_007757507.1	1	DUF6926 domain-containing protein
WP_291876606.1	1	DUF4280 domain-containing protein
WP_319531125.1	1	nuclease PIN
WP_319531131.1	1	autotransporter domain-containing protein
WP_195659613.1	1	DUF1653 domain-containing protein
WP_394605972.1	1	malonate decarboxylase subunit alpha
WP_233088056.1	1	cohesin domain-containing protein
WP_233088054.1	1	DUF6795 domain-containing protein
WP_353303695.1	1	glutathione S-transferase C-terminal domain-containing protein
WP_363523025.1	1	sialidase family protein
WP_009353037.1	1	deoxyuridine 5'-triphosphate nucleotidohydrolase
WP_127448789.1	1	DUF535 family protein
WP_024274587.1	1	H-NS family histone-like protein
Unknown	1	IS256-like element IS1164 family transposase
WP_246605062.1	1	terminase large subunit domain-containing protein
WP_221795290.1	1	HK97 family phage prohead protease
WP_221795296.1	1	DUF6456 domain-containing protein
WP_003088533.1	1	cytochrome c-550 PedF
WP_289643494.1	1	quinoprotein ethanol dehydrogenase
WP_264984236.1	1	helix-hairpin-helix domain-containing protein
WP_075255175.1	1	hydrogen peroxide-inducible genes activator
WP_158437681.1	1	three-helix bundle dimerization domain-containing protein
WP_199240918.1	1	ATP-dependent zinc metalloprotease FtsH
WP_370776102.1	1	cytochrome c biogenesis protein CcdA
WP_014993573.1	1	AAC(3)-I family aminoglycoside N-acetyltransferase
WP_014993575.1	1	DUF3291 domain-containing protein
Unknown	1	aminotransferase
WP_100429783.1	1	DUF5723 family protein
WP_314101893.1	1	ADP-forming succinate--CoA ligase subunit beta
Unknown	1	dTDP-4-dehydrorhamnose 3%2C5-epimerase family protein
WP_278353930.1	1	GumC family protein
WP_278353931.1	1	polysaccharide biosynthesis/export family protein
WP_278353934.1	1	YhdH/YhfP family quinone oxidoreductase
Unknown	1	DUF417 family protein
WP_144908834.1	1	alpha-N-arabinofuranosidase
WP_144908836.1	1	alpha-L-arabinofuranosidase C-terminal domain-containing protein
WP_144908838.1	1	MBG domain-containing protein
WP_072662599.1	1	dihydroxyacetone kinase operon transcriptional regulator DhaR
WP_021579905.1	1	type I Zorya anti-phage system protein ZorA1
WP_174893046.1	1	co-chaperone YbbN
WP_010466230.1	1	IS5-like element IS1384 family transposase
WP_278216875.1	1	YcaO-like family protein
WP_102711719.1	1	cytidylate kinase family protein
WP_102711691.1	1	PA14 domain-containing protein
WP_144247989.1	1	DNA ligase D
WP_144247990.1	1	DUF3606 domain-containing protein
WP_246104209.1	1	DUF1599 domain-containing protein
WP_258646636.1	1	cyclase family protein
WP_039991081.1	1	phosphotriesterase
WP_241579957.1	1	terminase ATPase subunit family protein
WP_241579959.1	1	GPO family capsid scaffolding protein
WP_241579961.1	1	phage major capsid protein%2C P2 family
WP_241579963.1	1	phage terminase small subunit
WP_004295323.1	1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)
WP_277172680.1	1	type II toxin-antitoxin system antitoxin%2C RelB/DinJ family
WP_082829205.1	1	organomercurial lyase
WP_037386407.1	1	peptidylprolyl isomerase SurA
WP_037386410.1	1	LPS assembly protein LptD
WP_023492719.1	1	co-chaperone DjlA
WP_023492720.1	1	bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA
WP_045196370.1	1	TIGR00366 family protein
WP_306353108.1	1	DUF5694 domain-containing protein
WP_279269000.1	1	DNA-3-methyladenine glycosylase I
WP_408981072.1	1	UTRA domain-containing protein
WP_207976981.1	1	twin-arginine translocase TatA/TatE family subunit
WP_207976983.1	1	PhoX family phosphatase
WP_207976986.1	1	swarming motility protein SwrAA
WP_000865634.1	1	acyl-CoA synthetase FdrA
WP_023434386.1	1	type VI secretion system tip protein VgrG
WP_003124577.1	1	M91 family zinc metallopeptidase
WP_208144229.1	1	OsmC domain/YcaO domain-containing protein
WP_285719908.1	1	terminase small subunit
WP_118039452.1	1	tRNA-dihydrouridine synthase
WP_400593043.1	1	GMC oxidoreductase
WP_117942151.1	1	tRNA-dihydrouridine synthase family protein
WP_372484613.1	1	caspase domain-containing protein
WP_275223140.1	1	DegT/DnrJ/EryC1/StrS aminotransferase family protein
WP_284986549.1	1	SCO1664 family protein
WP_402979355.1	1	flagellar assembly protein FliW
WP_336791541.1	1	dihydrofolate reductase
WP_336791542.1	1	DUF1648 domain-containing protein
WP_274499689.1	1	CpaF family protein
WP_164603188.1	1	HAMP domain-containing methyl-accepting chemotaxis protein
WP_164603194.1	1	alpha%2Calpha-trehalose-phosphate synthase (UDP-forming)
WP_164603202.1	1	class 1 fructose-bisphosphatase
WP_164603204.1	1	phosphoribulokinase
WP_047569890.1	1	retron St85 family effector protein
WP_273174033.1	1	glycosyl hydrolase family 8
WP_273173102.1	1	YjdF family protein
WP_072922289.1	1	REP-associated tyrosine transposase
WP_312818181.1	1	S1-like domain-containing RNA-binding protein
WP_312818183.1	1	DUF4476 domain-containing protein
WP_360413611.1	1	YccF domain-containing protein
WP_349002899.1	1	chorismate--pyruvate lyase
WP_316092240.1	1	LPD25 domain-containing protein
WP_338190324.1	1	multidrug transporter
WP_338190325.1	1	glucose PTS transporter subunit IIA
WP_325093625.1	1	UPF0182 family protein
WP_114371129.1	1	YwgA family protein
Unknown	1	secretion protein HlyD
WP_323419868.1	1	radical SAM/SPASM domain-containing protein
Unknown	1	MCP four helix bundle domain-containing protein
WP_344182966.1	1	alpha/beta hydrolase fold domain-containing protein
WP_344182987.1	1	DUF6112 family protein
WP_197506995.1	1	DUF3631 domain-containing protein
WP_066964946.1	1	PLP-dependent cysteine synthase family protein
WP_395051953.1	1	cobalamin-dependent protein
WP_395051956.1	1	VIT domain-containing protein
WP_221364345.1	1	DUF3833 family protein
WP_287589521.1	1	DUF87 domain-containing protein
WP_350714564.1	1	pilus assembly protein TadG-related protein
Unknown	1	IS1380-like element IS1170 family transposase
WP_107215349.1	1	Swt1 family HEPN domain-containing protein
WP_004104189.1	1	phospholipid-binding lipoprotein MlaA
WP_386917967.1	1	DUF2332 domain-containing protein
WP_076492450.1	1	formaldehyde dehydrogenase%2C glutathione-independent
WP_202934203.1	1	pimeloyl-ACP methyl ester esterase BioH
WP_193252395.1	1	ATP-dependent Lon protease
WP_131692768.1	1	protease modulator HflC
WP_086288488.1	1	HamA C-terminal domain-containing protein
WP_017369501.1	1	septation ring formation regulator EzrA
WP_003133160.1	1	translation elongation factor Ts
WP_003133158.1	1	30S ribosomal protein S2
WP_019291939.1	1	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
WP_141990832.1	1	DNA-directed RNA polymerase subunit beta
WP_317912503.1	1	DUF1433 domain-containing protein
WP_279155043.1	1	DUF3991 domain-containing protein
WP_346606080.1	1	Kiwa anti-phage protein KwaB-like domain-containing protein
WP_320163694.1	1	alpha-glucosidase/alpha-galactosidase
WP_320163695.1	1	AraC family ligand binding domain-containing protein
WP_320163701.1	1	OadG family transporter subunit
WP_320163702.1	1	oxaloacetate decarboxylase subunit alpha
WP_239880350.1	1	enoyl-CoA hydratase
WP_011864344.1	1	PspC domain-containing protein
WP_239880351.1	1	tRNA dihydrouridine(20/20a) synthase DusA
WP_226341282.1	1	malonate transporter subunit MadM
WP_170422040.1	1	DUF6324 family protein
WP_170422043.1	1	MmcB family DNA repair protein
Unknown	1	23S rRNA (adenine(1618)-N(6))-methyltransferase
WP_309863106.1	1	CusA/CzcA family heavy metal efflux RND transporter
WP_309863112.1	1	histidine kinase famiy protein
WP_353411356.1	1	uL30 family ribosomal protein
WP_303452595.1	1	D-mannonate dehydratase ManD
WP_303452697.1	1	RNA polymerase sigma factor RpoS
WP_018932302.1	1	CdaR family protein
WP_018932303.1	1	diadenylate cyclase CdaA
WP_018932304.1	1	anti-sigma factor family protein
WP_300862096.1	1	galactose ABC transporter substrate-binding protein
Unknown	1	M24B family metallopeptidase
Unknown	1	M24 family metallopeptidase C-terminal domain-containing protein
WP_072015758.1	1	molecular chaperone
WP_171971981.1	1	sigma-70 region 4 domain-containing protein
WP_414650107.1	1	DUF692 domain-containing protein
WP_277301767.1	1	tryptophan transporter
WP_127133967.1	1	energy-coupling factor ABC transporter ATP-binding protein
WP_277301769.1	1	histidinol-phosphatase HisJ
Unknown	1	chemotaxis protein CheW
WP_367399966.1	1	peptidyl-prolyl cis-trans isomerase
WP_340787658.1	1	RbsD/FucU domain-containing protein
WP_340787667.1	1	Na/Pi symporter
WP_224965000.1	1	alkaline shock response membrane anchor protein AmaP
WP_112932229.1	1	TraR/DksA C4-type zinc finger protein
WP_401344959.1	1	transglycosylase
WP_401344971.1	1	TIGR03750 family conjugal transfer protein
WP_213121608.1	1	protein-tyrosine phosphatase family protein
WP_285100694.1	1	deoxycytidine deaminase
WP_285100702.1	1	bZIP transcription factor
WP_253462176.1	1	TaqI-like C-terminal specificity domain-containing protein
WP_253462178.1	1	chromosome condensation regulator
WP_346045441.1	1	type II TA system antitoxin MqsA family protein
Unknown	1	DUF4003 family protein
WP_302498325.1	1	acetate uptake transporter
WP_139604792.1	1	DUF6547 family protein
WP_423785705.1	1	transcriptional regulator NosR
WP_024800184.1	1	class IV adenylate cyclase
Unknown	1	CoA-transferase
WP_307444912.1	1	aspartate--tRNA ligase
WP_148783803.1	1	2-isopropylmalate synthase
WP_305737712.1	1	site-2 protease family protein
WP_228869383.1	1	2-oxo acid dehydrogenase subunit E2
WP_228869385.1	1	NADPH-dependent F420 reductase
WP_409533317.1	1	TIGR04141 family sporadically distributed protein
WP_010776551.1	1	type III toxin-antitoxin system ToxN/AbiQ family toxin
WP_308450874.1	1	SF1B family DNA helicase RecD2
WP_244355456.1	1	DUF1840 domain-containing protein
WP_244355457.1	1	ethanolamine ammonia-lyase subunit EutB
WP_244355458.1	1	ethanolamine ammonia-lyase subunit EutC
WP_244355459.1	1	ethanolamine permease
WP_320722990.1	1	anti-phage protein Ppl
WP_289603729.1	1	ubiquinone-dependent pyruvate dehydrogenase
WP_288496286.1	1	DUF6375 family protein
WP_314084025.1	1	PTS mannitol transporter subunit IICB
WP_183602114.1	1	alginate lyase family protein
WP_183602128.1	1	flagellar biosynthesis protein FlgA
WP_001125439.1	1	type II toxin-antitoxin system serine/threonine protein kinase toxin HipA
Unknown	1	IS21-like element ISPkr1 family helper ATPase IstB
WP_021766207.1	1	glycoside hydrolase family 38 C-terminal domain-containing protein
WP_281797565.1	1	cobalt transporter CbiM
WP_155103981.1	1	MutH/Sau3AI family endonuclease
WP_155103986.1	1	aldose epimerase family protein
WP_142449965.1	1	L-arabinose isomerase
WP_325334033.1	1	dihydroxy-acid dehydratase
WP_215241789.1	1	NUMOD4 domain-containing protein
WP_168451115.1	1	Qat anti-phage system TatD family nuclease QatD
WP_410177032.1	1	RHS domain-containing protein
WP_163107393.1	1	CLCA_X family protein
WP_163107358.1	1	flavodoxin FldB
WP_163107360.1	1	esterase-like activity of phytase family protein
WP_032440250.1	1	amino acid ABC transporter permease/ATP-binding protein
WP_021469944.1	1	2-hydroxyacid dehydrogenase
WP_032436472.1	1	Rha family transcriptional regulator
WP_368949443.1	1	acetolactate synthase large subunit
WP_332269617.1	1	DUF3440 domain-containing protein
WP_230345184.1	1	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
WP_230345190.1	1	phosphoethanolamine transferase
WP_290228693.1	1	exodeoxyribonuclease V subunit alpha
WP_290228695.1	1	exodeoxyribonuclease V subunit gamma
WP_326557139.1	1	DddA-like double-stranded DNA deaminase toxin
WP_326557140.1	1	Imm1 family immunity protein
WP_342692760.1	1	aromatic amino acid hydroxylase
WP_342692762.1	1	group III truncated hemoglobin
WP_342692764.1	1	threonine ammonia-lyase IlvA
Unknown	1	DUF4136 domain-containing protein
WP_193162720.1	1	Tox-REase-5 domain-containing protein
WP_182745216.1	1	HDIG domain-containing metalloprotein
WP_012534223.1	1	sporulation protein
WP_379937392.1	1	mobile mystery protein B
WP_379937513.1	1	mobile mystery protein A
WP_379937394.1	1	transcriptional regulator NodD1
WP_345326432.1	1	DUF1559 domain-containing protein
WP_345326454.1	1	TMEM14 family protein
WP_161439444.1	1	DUF2000 domain-containing protein
WP_158144049.1	1	Fis family transcriptional regulator
WP_161439164.1	1	TIGR02450 family Trp-rich protein
WP_161599084.1	1	nicotinate-nicotinamide nucleotide adenylyltransferase
WP_261790627.1	1	DUF2335 domain-containing protein
WP_011016392.1	1	phosphoadenosine phosphosulfate reductase family protein
WP_345915578.1	1	phosphatidylinositol-specific phospholipase C
WP_345915580.1	1	DUF393 domain-containing protein
WP_345915583.1	1	molybdenum ABC transporter ATP-binding protein
WP_345915584.1	1	molybdate ABC transporter permease subunit
WP_345915585.1	1	molybdate ABC transporter substrate-binding protein
WP_345915586.1	1	molybdopterin synthase catalytic subunit MoaE
WP_056847258.1	1	DUF1508 domain-containing protein
WP_149759043.1	1	DUF5671 domain-containing protein
WP_237767075.1	1	PTS transporter subunit EIIB
WP_259671189.1	1	virulence associated protein
WP_017178751.1	1	CTP synthase
WP_158102568.1	1	tachylectin-related carbohydrate-binding protein
WP_086661061.1	1	5'-nucleotidase C-terminal domain-containing protein
Unknown	1	cell division protein FtsK
WP_312248680.1	1	DUF262 domain-containing HNH endonuclease family protein
WP_318617132.1	1	adenosylmethionine decarboxylase
WP_223033658.1	1	SusD/RagB family nutrient-binding outer membrane lipoprotein
WP_021952021.1	1	VirB4-like conjugal transfer ATPase%2C CD1110 family
WP_285425785.1	1	DUF6216 family protein
WP_130209077.1	1	heavy metal response regulator transcription factor
WP_217838414.1	1	heavy metal sensor histidine kinase
WP_022730396.1	1	SemiSWEET transporter
WP_111857007.1	1	enoyl-[acyl-carrier-protein] reductase FabK
WP_065816263.1	1	L-threonine 3-dehydrogenase
WP_106479979.1	1	IS5-like element IS1168 family transposase
WP_063292424.1	1	DUF2497 domain-containing protein
WP_057464431.1	1	protein-L-isoaspartate O-methyltransferase
WP_063307635.1	1	TIGR02594 family protein
WP_231568199.1	1	DUF2164 family protein
WP_049635410.1	1	DUF2442 domain-containing protein
WP_049635411.1	1	BrnT family toxin
WP_005175269.1	1	BrnA antitoxin family protein
